This file was generated by Console at 2021:05:06-00:00:01



[2021:05:06-00:02:55]  (Global) -> #7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: Buenas tardes gente 
[2021:05:06-00:02:58]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: y super infravalorado D:
[2021:05:06-00:02:58]  (Global) -> GordoBM|#000000侍: ummmmmmmmmmmm
[2021:05:06-00:03:02]  (Local) -> (LOCAL)[1]Ill-ALEJO81: todo bien?
[2021:05:06-00:03:03]  (Local) -> (LOCAL)[1]Nicole: normal
[2021:05:06-00:03:05]  (Local) -> (LOCAL)[2]mata: venga
[2021:05:06-00:03:05]  (Local) -> (LOCAL)[4]a---Mp: tombo carechimba
[2021:05:06-00:03:05]  (Local) -> (LOCAL)[1]capojuan-.-Z: pa donde
[2021:05:06-00:03:08]  (Global) -> Benjamin_Rios/2cb: ADMIN BRO ME LLEVAS A LOS SANTOS QUEDE BOTADO
[2021:05:06-00:03:09]  (Global) -> DeadpanCobra50: si si es que soy nuevo xd
[2021:05:06-00:03:09]  (Local) -> (LOCAL)[1]mata: dejese chupar ese chimbol
[2021:05:06-00:03:10]  (Global) -> EL_PUTAS: LO LLEVO
[2021:05:06-00:03:10]  (Local) -> (LOCAL)[1]Azrael: donde estaba
[2021:05:06-00:03:11]  ([Msg] de Julio para Lil_Dilangroserin'CDG: bre, 47.5 y roadtrain, donde esta) -> nil
[2021:05:06-00:03:13]  (Global) -> Sofi: uyy gracias bb
[2021:05:06-00:03:14]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Jimenez: Solo estas viendo desde tu beneficio no de los demas xD
[2021:05:06-00:03:14]  (Global) -> DeadpanCobra50: JJAJAAJAJAJAJ
[2021:05:06-00:03:15]  (Global) -> CALDERON|AUC||#C0FF00 ✘: Ash-Chirri||EVG||[2] el falseto mayor
[2021:05:06-00:03:16]  (Local) -> (LOCAL)[5]Oconner|2cb: voy a poner una de yt a ver si se escucha me dicen
[2021:05:06-00:03:16]  (Global) -> Yesid_[CDG]: #00FF0' ADMIN  CHIRRI VEN
[2021:05:06-00:03:18]  (Local) -> (LOCAL)[1]Selfmade: porq
[2021:05:06-00:03:19]  (Global) -> GordoBM|#000000侍: ummmmmmmmmmmm
[2021:05:06-00:03:19]  (Local) -> (LOCAL)[1]a---Mp: tombo carechimba
[2021:05:06-00:03:19]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Meguu~: 20 ese
[2021:05:06-00:03:19]  (Global) -> #7F7F7F|ADM|#FF5C00Ash-Chirri||EVG||: Benjamin_Rios/2cb noks XD
[2021:05:06-00:03:20]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Meguu~: o q
[2021:05:06-00:03:21]  (Local) -> (LOCAL)[1]Selfmade: no me he bañlado
[2021:05:06-00:03:21]  (Local) -> (LOCAL)[1]mata: pq si
[2021:05:06-00:03:22]  (Global) -> JustinM: xD
[2021:05:06-00:03:22]  (Global) -> Sofi: ok
[2021:05:06-00:03:23]  (Local) -> (LOCAL)[1]mata: xdd
[2021:05:06-00:03:24]  (Local) -> (LOCAL)[1]Ill-ALEJO81: ok ok quiere trabajar de taxista?
[2021:05:06-00:03:24]  (Local) -> (LOCAL)[1]Tochielaragan|AUC: alo
[2021:05:06-00:03:24]  (Local) -> (LOCAL)[1]Selfmade: el pene
[2021:05:06-00:03:25]  (Local) -> (LOCAL)[4]DENII|CAPU: ya lo tengo
[2021:05:06-00:03:26]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: No
[2021:05:06-00:03:27]  (Local) -> (LOCAL)[1]a---Mp: D
[2021:05:06-00:03:28]  (Local) -> (LOCAL)[1]Azrael: buena moto bro
[2021:05:06-00:03:28]  ([Msg] de Lil_Dilangroserin'CDG para Julio: H central) -> nil
[2021:05:06-00:03:28]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Meguu~: ok
[2021:05:06-00:03:28]  (Local) -> (LOCAL)[1]Camilolindo|2cb: hola
[2021:05:06-00:03:29]  (Local) -> (LOCAL)[1]a---Mp: xd
[2021:05:06-00:03:30]  (Local) -> (LOCAL)[4]pinina: eso eso
[2021:05:06-00:03:31]  (Global) -> JustinM: teniente
[2021:05:06-00:03:33]  (Global) -> DeadpanCobra50: hagale
[2021:05:06-00:03:34]  (Global) -> PRO: benito vendame un carro
[2021:05:06-00:03:35]  (Local) -> (LOCAL)[2]DosCoronas|CAPU: eo
[2021:05:06-00:03:36]  (Local) -> (LOCAL)[2]a---Mp: me vale sapo
[2021:05:06-00:03:37]  ([Msg] de Julio para Lil_Dilangroserin'CDG: voy) -> nil
[2021:05:06-00:03:37]  (Local) -> (LOCAL)[2]DosCoronas|CAPU: oe
[2021:05:06-00:03:37]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: porque cualquiera puede hacer drift
[2021:05:06-00:03:37]  (Local) -> (LOCAL)[4]CALDERON|AUC|: a ud le guta chupar qlos otakus? -_-
[2021:05:06-00:03:39]  (Local) -> (LOCAL)[1]Ill-ALEJO81: venga
[2021:05:06-00:03:40]  (Global) -> TitocRonaldz: qqqqqqqqqqqqq
[2021:05:06-00:03:40]  (Global) -> JustinM: xD
[2021:05:06-00:03:41]  ([Msg] de Ash-Chirri||EVG|| para Yesid_[CDG]: lo especteo que paso?) -> nil
[2021:05:06-00:03:42]  (Local) -> (LOCAL)[2]DosCoronas|CAPU: oe
[2021:05:06-00:03:42]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Meguu~: ese cuanto da
[2021:05:06-00:03:43]  (Global) -> Yesid_[CDG]: #00FF00 ADMIN CHIRRI VEN
[2021:05:06-00:03:44]  (Local) -> (LOCAL)[3]DENII|CAPU: tambien
[2021:05:06-00:03:44]  (Local) -> (LOCAL)[3]Nicole: si
[2021:05:06-00:03:45]  (Global) -> TitocRonaldz: xd
[2021:05:06-00:03:46]  (Local) -> (LOCAL)[3]CALDERON|AUC|: aaa
[2021:05:06-00:03:47]  (Local) -> (LOCAL)[4]DENII|CAPU: lo tengo
[2021:05:06-00:03:51]  (Local) -> (LOCAL)[1]capojuan-.-Z: la vendo en dos palos y medio
[2021:05:06-00:03:51]  (Local) -> (LOCAL)[1]Azrael: ese poli se fue
[2021:05:06-00:03:53]  (Local) -> (LOCAL)[3]CALDERON|AUC|: i me dice infiel a mi
[2021:05:06-00:03:57]  (Local) -> (LOCAL)[5]DENII|CAPU: tambien
[2021:05:06-00:03:58]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: usted sabe lo dificil que es hacer una accion drift por medio del puntaje
[2021:05:06-00:04:01]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: lag
[2021:05:06-00:04:01]  (Global) -> EL_PUTAS: LO LLEVO
[2021:05:06-00:04:04]  (Local) -> (LOCAL)[5]a---Mp: compermisooooo
[2021:05:06-00:04:05]  (Local) -> (LOCAL)[4]LauraRa: jajaja
[2021:05:06-00:04:06]  (Local) -> (LOCAL)[1]Ill-ALEJO81: al verde
[2021:05:06-00:04:06]  (Local) -> (LOCAL)[2]Nicole: normal
[2021:05:06-00:04:07]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: ey
[2021:05:06-00:04:08]  (Local) -> (LOCAL)[1]Yesid_[CDG]: OE LE COMPRO UN CARRO
[2021:05:06-00:04:09]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: amno
[2021:05:06-00:04:09]  (Local) -> (LOCAL)[7]Azrael: ando sin plata por ahora
[2021:05:06-00:04:11]  (Team - Services) -> (TEAM)Ill-ALEJO81:  dele laburar
[2021:05:06-00:04:11]  (Local) -> (LOCAL)[2]Nicole: ya no somos nada
[2021:05:06-00:04:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Por eso, entonces juegue y practique
[2021:05:06-00:04:12]  (Local) -> (LOCAL)[2]rolo|ILLUMINATI: hagale mi papa
[2021:05:06-00:04:16]  (Local) -> (LOCAL)[5]a---Mp: muchas garcias
[2021:05:06-00:04:17]  (Local) -> (LOCAL)[2]CALDERON|AUC|: kkkkkkkkk
[2021:05:06-00:04:17]  (Global) -> ArleyMateusL: COMPREMELO
[2021:05:06-00:04:17]  (Global) -> DeadpanCobra50: aaah
[2021:05:06-00:04:17]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Es la gracia
[2021:05:06-00:04:21]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: No todo regalado
[2021:05:06-00:04:22]  (Local) -> (LOCAL)[1]Yesid_[CDG]: CUAL
[2021:05:06-00:04:22]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: JAajjaajajaaj D:
[2021:05:06-00:04:23]  (Local) -> (LOCAL)[2]rolo|ILLUMINATI: hasta abojo no ?
[2021:05:06-00:04:23]  (Global) -> braiderandres: ola
[2021:05:06-00:04:26]  (Local) -> (LOCAL)[4]Oconner|2cb: nooo esto q ome
[2021:05:06-00:04:26]  (Local) -> (LOCAL)[9]Azrael: gracias bro
[2021:05:06-00:04:27]  (Local) -> (LOCAL)[2]CALDERON|AUC|: ud y yo no hemos terminado
[2021:05:06-00:04:28]  (Local) -> (LOCAL)[2]TiroVisco|ELN|.: de aqui a donde estabamos ahora
[2021:05:06-00:04:28]  (Local) -> (LOCAL)[4]Oconner|2cb: jaaj
[2021:05:06-00:04:32]  (Local) -> (LOCAL)[5]COSCULLUELA~|2cb|: ez
[2021:05:06-00:04:34]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: pues si yo se
[2021:05:06-00:04:35]  (Global) -> ArleyMateusL: EL QUE QUIERA
[2021:05:06-00:04:35]  (Local) -> (LOCAL)[2]rolo|ILLUMINATI: breve
[2021:05:06-00:04:35]  (Global) -> Geremmy.721: admin aparesi en el medio del mar help
[2021:05:06-00:04:35]  (Local) -> (LOCAL)[9]Azrael: a matar polcias se dijo
[2021:05:06-00:04:36]  (Global) -> PRO: tengo 7 palos 500k ofrescan carros
[2021:05:06-00:04:36]  (Global) -> Alcapone|Zcb|: LE VENDO UN STATUM RARE
[2021:05:06-00:04:37]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF5C00Jimenez: Si ves que lo dices desde tu beneficio y asi no se puede pensar
[2021:05:06-00:04:38]  (Local) -> (LOCAL)[3]Yesid_[CDG]: CUAL TIENES?
[2021:05:06-00:04:38]  (Local) -> (LOCAL)[7]Julio: gogo
[2021:05:06-00:04:38]  (Global) -> DeadpanCobra50: y ahora xd
[2021:05:06-00:04:39]  (Global) -> Sofi: jajajajja
[2021:05:06-00:04:40]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Meguu~: 15 ese deni
[2021:05:06-00:04:40]  (Local) -> (LOCAL)[4]Oconner|2cb: les toco poner los temas a ustedes a mi nome da
[2021:05:06-00:04:43]  ([Msg] de Lil_Dilangroserin'CDG para Julio: Toda la plata que tenga) -> nil
[2021:05:06-00:04:43]  (Local) -> (LOCAL)[3]Nicole: mmm
[2021:05:06-00:04:44]  (Local) -> (LOCAL)[1]Paco-st: f
[2021:05:06-00:04:45]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: que no hay que romper la economia
[2021:05:06-00:04:46]  (Global) -> PRO: alcopone donde esta
[2021:05:06-00:04:47]  (Global) -> EL_PUTAS: LO LLEVO
[2021:05:06-00:04:47]  (Local) -> (LOCAL)[3]DENII|CAPU: ese no lo quiero
[2021:05:06-00:04:49]  (Global) -> Sofi: a mi no me da
[2021:05:06-00:04:51]  (Global) -> Benjamin_Rios: ADMIN BRO ME LLEVAS A LOS SANTOS QUEDE BOTADO
[2021:05:06-00:04:52]  (Local) -> (LOCAL)[1]Ill-ALEJO81: es simple es ir de bandera abandera que le aperece en el mapa
[2021:05:06-00:04:52]  (Local) -> (LOCAL)[4]pinina: yo no se poner los temas
[2021:05:06-00:04:53]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: es que no solo lo digo yo
[2021:05:06-00:04:53]  (Global) -> Alcapone|Zcb|: centra Pro
[2021:05:06-00:04:53]  (Local) -> (LOCAL)[3]DENII|CAPU: no me gusta
[2021:05:06-00:05:00]  (Local) -> (LOCAL)[4]Oconner|2cb: aush
[2021:05:06-00:05:00]  (Local) -> (LOCAL)[1]Julio: tonces
[2021:05:06-00:05:02]  (Local) -> (LOCAL)[4]DENII|CAPU: ya lo tengo
[2021:05:06-00:05:03]  (Global) -> PRO: venga al banco alcopone
[2021:05:06-00:05:05]  (Local) -> (LOCAL)[1]Paco-st: lo llevo a la estacion?
[2021:05:06-00:05:06]  ([Msg] de Ash-Chirri||EVG|| para Yesid_[CDG]: se me crasheo el juego xd) -> nil
[2021:05:06-00:05:06]  (Global) -> EL_PUTAS: OE DESVOLTEEME LA BUSETICA
[2021:05:06-00:05:07]  (Local) -> (LOCAL)[1]Ill-ALEJO81: vemos
[2021:05:06-00:05:07]  (Local) -> (LOCAL)[4]Yesid_[CDG]: OE
[2021:05:06-00:05:09]  (Global) -> Alcapone|Zcb|: r
[2021:05:06-00:05:14]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF0000Meguu~: reconecto
[2021:05:06-00:05:14]  (Local) -> (LOCAL)[1]Felipe's|ILLUMINATI: muchos hablan de que este trabajo esta infravalorado
[2021:05:06-00:05:15]  (Local) -> (LOCAL)[3]a---Mp: llevame si me vas a llebar
[2021:05:06-00:05:15]  (Global) -> DeadpanCobra50: no veo la bendera mka :,3
[2021:05:06-00:05:16]  (Global) -> GordoBM|#000000侍: esas cochinadas de pcs de los admins JJJJJJJJJJJJJJJJ
[2021:05:06-00:05:16]  (Global) -> Julio|#9E016Cඞ:  
[2021:05:06-00:05:17]  (Local) -> (LOCAL)[1]Lil_Dilangroserin'CDG: cuanto tenes todo en total
