This file was generated by Console at 2021:05:30-00:00:02



[2021:05:30-00:03:56]  (Local) -> (LOCAL)[7]dilan.carti'cdg: aa
[2021:05:30-00:03:57]  (Local) -> (LOCAL)[5]JuanPablo'2cb: listo vamos a mejorar las armas
[2021:05:30-00:04:00]  (Local) -> (LOCAL)[6]dilan.carti'cdg: melo
[2021:05:30-00:04:02]  (Local) -> (LOCAL)[3]Ninja: ADIOS ME VOY A SUICIDAR
[2021:05:30-00:04:03]  (Local) -> (LOCAL)[6]buitrago[CDG]: sikas
[2021:05:30-00:04:05]  (Local) -> (LOCAL)[7]dilan.carti'cdg: oe
[2021:05:30-00:04:06]  (Local) -> (LOCAL)[1]David'2cb: va
[2021:05:30-00:04:08]  (Local) -> (LOCAL)[1]Gomita|Z: mera niÃ±a
[2021:05:30-00:04:09]  (Local) -> (LOCAL)[8]BAZUDLBABYS2Cv: :c
[2021:05:30-00:04:10]  (Local) -> (LOCAL)[6]dilan.carti'cdg: buitrago[CDG] vende h3
[2021:05:30-00:04:11]  (Local) -> (LOCAL)[7]buitrago[CDG]: eo
[2021:05:30-00:04:14]  (Local) -> (LOCAL)[1]Moneda: abrace loca
[2021:05:30-00:04:18]  (Local) -> (LOCAL)[5]buitrago[CDG]: lo vendi hace hace 4 dias
[2021:05:30-00:04:18]  (Local) -> (LOCAL)[1]JuanPablo'2cb: te recomiendo en pistolas la deagle en escopetas la combat shotgun
[2021:05:30-00:04:19]  (Local) -> (LOCAL)[2]OMAR25.ZETAS: vamos parar comprar arma
[2021:05:30-00:04:20]  (Local) -> (LOCAL)[4]buitrago[CDG]: jajajaa
[2021:05:30-00:04:20]  (Local) -> (LOCAL)[1]Gomita|Z: dando bala y luego se mete a zona
[2021:05:30-00:04:21]  (Local) -> (LOCAL)[2]OMAR25.ZETAS: ya no tengo
[2021:05:30-00:04:21]  (Local) -> (LOCAL)[3]camilo_||2cb||: xd
[2021:05:30-00:04:21]  (Global) -> bblin^Z|#000000í µí³©: #FF0000 Ê˜â€¿Ê˜?
[2021:05:30-00:04:21]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00ColombiaHumana: aca sentados
[2021:05:30-00:04:23]  (Local) -> (LOCAL)[1]Gomita|Z: niÃ±a
[2021:05:30-00:04:23]  (Local) -> (LOCAL)[5]dilan.carti'cdg: ahh que gono
[2021:05:30-00:04:25]  (Local) -> (LOCAL)[5]dilan.carti'cdg: efe
[2021:05:30-00:04:28]  (Local) -> (LOCAL)[2]JuanPablo'2cb: en microsubfusiles la tec 9
[2021:05:30-00:04:31]  (Local) -> (LOCAL)[3]JuanPablo'2cb: en asalto la m4
[2021:05:30-00:04:33]  (Local) -> (LOCAL)[6]dilan.carti'cdg: y jester vendes jsjsj
[2021:05:30-00:04:34]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00ColombiaHumana: peguese mas al borde
[2021:05:30-00:04:36]  (Local) -> (LOCAL)[3]JuanPablo'2cb: y en sniper
[2021:05:30-00:04:37]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00ColombiaHumana: sentado 2
[2021:05:30-00:04:38]  (Local) -> (LOCAL)[4]MMMMMM|||||||||||||||!: omalam
[2021:05:30-00:04:41]  (Local) -> (LOCAL)[5]JuanPablo'2cb: sniper rifle
[2021:05:30-00:04:41]  (Local) -> (LOCAL)[6]buitrago[CDG]: nop
[2021:05:30-00:04:42]  (Local) -> (LOCAL)[8]buitrago[CDG]: aussajajs
[2021:05:30-00:04:46]  (Local) -> (LOCAL)[3]JuanPablo'2cb: esas te sirven para el pvp
[2021:05:30-00:04:46]  (Local) -> (LOCAL)[8]dilan.carti'cdg: :c
[2021:05:30-00:04:46]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00ColombiaHumana: sentado 2
[2021:05:30-00:04:49]  (Local) -> (LOCAL)[7]briderandres: mero cagao jajaja
[2021:05:30-00:04:50]  (Local) -> (LOCAL)[3]Ninja: SUBANDME}
[2021:05:30-00:04:53]  (Local) -> (LOCAL)[6]JuanPablo'2cb: okey?
[2021:05:30-00:04:53]  (Local) -> (LOCAL)[5]David'2cb: uva
[2021:05:30-00:04:55]  (Local) -> (LOCAL)[2]Rip~: q qqq
[2021:05:30-00:04:56]  (Local) -> (LOCAL)[3]David'2cb: va
[2021:05:30-00:04:56]  (Local) -> (LOCAL)[2]Rip~: eee
[2021:05:30-00:04:57]  (Team - Criminals) -> (TEAM)JuanPablo'2cb: u
[2021:05:30-00:04:58]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00ColombiaHumana: ajjaj ya voy
[2021:05:30-00:05:07]  (Local) -> (LOCAL)[3]JuanPablo'2cb: ya las tienes?
[2021:05:30-00:05:10]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00ColombiaHumana: g
[2021:05:30-00:05:15]  (Local) -> (LOCAL)[3]briderandres: mas camperito
[2021:05:30-00:05:16]  (Global) -> C-j: (/lock
[2021:05:30-00:05:16]  (Global) -> dilan.carti'cdg|#A016EFí ½í¸ˆ: #00ff00 COMPRO H3
[2021:05:30-00:05:17]  (Local) -> (LOCAL)[3]Dua|2cB|: Todo bobito
[2021:05:30-00:05:18]  (Global) -> Stitches!~>|(CDG)||#A016EFí ½í¸ˆ: COMPRO HR 3 <33
[2021:05:30-00:05:24]  (Global) -> CARRANCHO: ufff mamasita
[2021:05:30-00:05:24]  (Global) -> MICHAEL|ELN: hola
[2021:05:30-00:05:28]  ([Msg] de MMMMMM|||||||||||||||! para #666000JuanPablo'2cb: felis nabida) -> nil
[2021:05:30-00:05:36]  (Global) -> MICHAEL|ELN: uwu
[2021:05:30-00:05:38]  (Local) -> (LOCAL)[2]dilan.carti'cdg: DENII Vendes h3?
[2021:05:30-00:05:38]  (Local) -> (LOCAL)[3]Ninja: YLA CAGUE
[2021:05:30-00:05:43]  (Local) -> (LOCAL)[3]DENII: no
[2021:05:30-00:05:44]  (Local) -> (LOCAL)[2]briderandres: cagadin
[2021:05:30-00:05:44]  ([Msg] de #666000JuanPablo'2cb para MMMMMM|||||||||||||||!: y eso) -> nil
[2021:05:30-00:05:44]  (Local) -> (LOCAL)[2]LucasVilla: JASJKKASJKSSAJK
[2021:05:30-00:05:45]  (Local) -> (LOCAL)[3]dilan.carti'cdg: a
[2021:05:30-00:05:45]  (Local) -> (LOCAL)[2]Dua|2cB|: salga de zona segura
[2021:05:30-00:05:46]  (Local) -> (LOCAL)[2]lxlCarloslxl: xd
[2021:05:30-00:05:47]  (Local) -> (LOCAL)[2]Dua|2cB|: cagado
[2021:05:30-00:05:48]  (Team - Criminals) -> (TEAM)Niconnis: aaaaaa
[2021:05:30-00:05:48]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00ColombiaHumana: ya vengo
[2021:05:30-00:05:53]  (Global) -> Quesito-Rancio[EVG]: DJ por favor pongame el diablo es malo
[2021:05:30-00:05:54]  (Local) -> (LOCAL)[1]LucasVilla: Todo pendejo
[2021:05:30-00:05:56]  (Local) -> (LOCAL)[1]LucasVilla: ASKLSJASKAJAS
[2021:05:30-00:05:56]  (Local) -> (LOCAL)[1]JuanPablo'2cb: eso bro
[2021:05:30-00:06:00]  ([Msg] de MMMMMM|||||||||||||||! para #666000JuanPablo'2cb: de los carritos q le regale) -> nil
[2021:05:30-00:06:01]  (Local) -> (LOCAL)[1]Ninja: xdddddddddddddddddddddddddddddd
[2021:05:30-00:06:03]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: pere
[2021:05:30-00:06:03]  (Global) -> CARRANCHO: ponete trizteza de willie
[2021:05:30-00:06:07]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: no se suba
[2021:05:30-00:06:07]  (Local) -> (LOCAL)[1]JuanPablo'2cb: asi hasta que quede al 100$
[2021:05:30-00:06:14]  (Local) -> (LOCAL)[2]lxlCarloslxl: xdddd
[2021:05:30-00:06:14]  (Local) -> (LOCAL)[2]briderandres: ag
[2021:05:30-00:06:16]  (Global) -> Niconnis: !kill
[2021:05:30-00:06:16]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: vea
[2021:05:30-00:06:17]  (Local) -> (LOCAL)[3]lxlCarloslxl: F
[2021:05:30-00:06:18]  ([Msg] de MMMMMM|||||||||||||||! para #666000JuanPablo'2cb: el parcero q cree q uno es atontau) -> nil
[2021:05:30-00:06:20]  (Global) -> Stitches!~>|(CDG)||#A016EFí ½í¸ˆ: COMPRO HR 3 <33
