This file was generated by Console at 2021:05:13-00:00:00



[2021:05:13-00:02:42]  (Team - Services) -> (TEAM)BazucoMan: ALO
[2021:05:13-00:02:43]  (Global) -> acs'zzz: No ps que chimba
[2021:05:13-00:02:44]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF0000Catre^AUC: 40
[2021:05:13-00:02:45]  (Local) -> (LOCAL)[4]Cagaleto|ELN|MZ|: A dañar pc
[2021:05:13-00:02:46]  (Local) -> (LOCAL)[4]Loca:): cuarenta
[2021:05:13-00:02:46]  (Global) -> LordPerdomo: q de q mai
[2021:05:13-00:02:47]  (Local) -> (LOCAL)[1]Peyeta'2cb: q paso
[2021:05:13-00:02:47]  (Global) -> Luis|CDG||#1B2ABA������: DJ_NICOLAS.PRSTIGE_2CB le vendo el VIRGO
[2021:05:13-00:02:48]  (Local) -> (LOCAL)[2]Oreo: como le va a ganar vibra
[2021:05:13-00:02:48]  (Local) -> (LOCAL)[3]Topo|AUC|: Ellos lo siguen solo
[2021:05:13-00:02:48]  (Global) -> AQUA: nose
[2021:05:13-00:02:48]  (Local) -> (LOCAL)[1]buitrago: saa
[2021:05:13-00:02:49]  (Global) -> RusiTombo-Slayer: que se gana del evento de la torre? xd
[2021:05:13-00:02:49]  (Global) -> ElCastigador: donde venden moto nadie responde
[2021:05:13-00:02:49]  (Local) -> (LOCAL)[2]Oreo: XDDDDD
[2021:05:13-00:02:50]  (Global) -> Raptus: no me vaya a matar so
[2021:05:13-00:02:53]  (Local) -> (LOCAL)[1]Toloteli|2cb: meros visajosos
[2021:05:13-00:02:54]  (Local) -> (LOCAL)[1]buitrago: le vendo un carro
[2021:05:13-00:02:54]  (Global) -> JUNNIORPAI[AK]:(: ahh breve
[2021:05:13-00:02:55]  (Local) -> (LOCAL)[4]Travis_EscrotoAUC: catre cuando me das admin
[2021:05:13-00:02:57]  (Global) -> JUAN12: cambio moto por un carro
[2021:05:13-00:02:58]  (Local) -> (LOCAL)[2]chocomurillo|4K: subite
[2021:05:13-00:02:58]  (Local) -> (LOCAL)[2]Topo|AUC|: Solo taseelos y bolillo
[2021:05:13-00:02:58]  (Local) -> (LOCAL)[1]buitrago: este mismo
[2021:05:13-00:02:58]  (Local) -> (LOCAL)[1][owen[2cb: no
[2021:05:13-00:02:59]  (Global) -> flowerby_ELN: oe
[2021:05:13-00:02:59]  (Global) -> !Benja-[ZETAS]: vamo a ver entonces
[2021:05:13-00:02:59]  (Local) -> (LOCAL)[2]Peyeta'2cb: ujsajsa
[2021:05:13-00:03:00]  (Global) -> JairSad: cuanto
[2021:05:13-00:03:00]  (Global) -> DJ_NICOLAS.PRSTIGE_2CB: ya tengo un RC BARON JIJIIJIJI CON ESO TURFEO
[2021:05:13-00:03:02]  (Local) -> (LOCAL)[4]Travis_EscrotoAUC: neaaaa quite eso que me va a dos fps
[2021:05:13-00:03:03]  (Global) -> ElCastigador: tengo un tornado
[2021:05:13-00:03:05]  (Global) -> LordPerdomo: tqqqqq
[2021:05:13-00:03:05]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF8C00Jolyne'2cb: de qn era el pago de este
[2021:05:13-00:03:06]  (Global) -> LordPerdomo: qqq
[2021:05:13-00:03:07]  (Global) -> BenitoCampos.AUC: si 
[2021:05:13-00:03:08]  (Local) -> (LOCAL)[4]ElMudo69: CHARRYYY
[2021:05:13-00:03:14]  (Local) -> (LOCAL)[4]FalkonGP/ELN: charry vamos
[2021:05:13-00:03:15]  (Local) -> (LOCAL)[8]lil_Narutx/parche10: que haremos aqui?
[2021:05:13-00:03:17]  (Local) -> (LOCAL)[7]Travis_EscrotoAUC: YO AHROTIA
[2021:05:13-00:03:18]  (Global) -> Toloteli|2cb: UUUUUUUUUUUUUUUUUUUUUUUUUUUUU
[2021:05:13-00:03:20]  (Local) -> (LOCAL)[3]chocomurillo|4K: pa donde ?
[2021:05:13-00:03:20]  (Local) -> (LOCAL)[4]ElBrayan: comprar candys?
[2021:05:13-00:03:20]  (Local) -> (LOCAL)[4]ElMudo69: SU MAMA
[2021:05:13-00:03:20]  (Local) -> (LOCAL)[5]Travis_EscrotoAUC: LITERAL ME VA ASI
[2021:05:13-00:03:21]  (Global) -> Toloteli|2cb: LOCAAAAAAAAAAAAAAAAAAAAAAAAAAA
[2021:05:13-00:03:23]  (Global) -> DonBazuco!Zcv!x|#1BC45F★ƧƧ★: Oreo[3] mero gay
[2021:05:13-00:03:23]  (Global) -> BenitoCampos.AUC: Pos ya se acabo xd 
[2021:05:13-00:03:23]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF8C00Apu!N'2cb: AFK arreglando casa
[2021:05:13-00:03:24]  (Local) -> (LOCAL)[3]FalkonGP/ELN: qu8e dijo xd
[2021:05:13-00:03:25]  (Local) -> (LOCAL)[1]ArielPnot'2cb: esos
[2021:05:13-00:03:26]  (Local) -> (LOCAL)[3]Dua: Espera
[2021:05:13-00:03:26]  (Local) -> (LOCAL)[1]Toloteli|2cb: X{
[2021:05:13-00:03:26]  (Local) -> (LOCAL)[8]lil_Narutx/parche10: xd
[2021:05:13-00:03:26]  (Global) -> LordPerdomo: todo vsj el vago
[2021:05:13-00:03:27]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Orgalor: Jolyne'2cb[1]
[2021:05:13-00:03:27]  (Local) -> (LOCAL)[3]ElMudo69: NOSE X
[2021:05:13-00:03:27]  (Local) -> (LOCAL)[3]FalkonGP/ELN: qe dijoxd+
[2021:05:13-00:03:28]  (Local) -> (LOCAL)[1]Toloteli|2cb: X
[2021:05:13-00:03:29]  (Local) -> (LOCAL)[5]Dua: Me voy afk
[2021:05:13-00:03:30]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00Oconner'2cb: estan chimbas
