This file was generated by Console at 2021:05:28-00:00:01



[2021:05:28-00:03:13]  (Local) -> (LOCAL)[3]lizi[CDG](roliando): peo
[2021:05:28-00:03:13]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: esa camara k
[2021:05:28-00:03:14]  (Global) -> FLOREZINHO|CDG||#A016EFí ½í¸ˆ: #aa00ff VENDO BANDITO, BANSHE Y BF 400 PA YA BARATICOS (BANDITO ES RARE)
[2021:05:28-00:03:15]  (Global) -> MonazzoCDG: De que esta traumado puello de matar gente, tobo
[2021:05:28-00:03:16]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: peo q
[2021:05:28-00:03:16]  (Global) -> Happy: me kgo en san pito pedro
[2021:05:28-00:03:17]  (Global) -> #7F7F7F|ADM|#FF5C00Hmn|#CBFF00âœ˜ : ud solo
[2021:05:28-00:03:20]  (Local) -> (LOCAL)[1]Gomita|Z: el mrk usa las flechas
[2021:05:28-00:03:22]  (Local) -> (LOCAL)[3]lizi[CDG](roliando): tapito delos buenas
[2021:05:28-00:03:25]  (Local) -> (LOCAL)[1]Javier: xdd
[2021:05:28-00:03:26]  (Local) -> (LOCAL)[2]KING[ELN]: uuuuuuy
[2021:05:28-00:03:27]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: q
[2021:05:28-00:03:27]  (Local) -> (LOCAL)[1]Gomita|Z: quien usa las flechas?
[2021:05:28-00:03:27]  (Local) -> (LOCAL)[3]ElWosito'2cb: yo quiero ahora
[2021:05:28-00:03:28]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000ASH: .____,
[2021:05:28-00:03:29]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: ajjajaja
[2021:05:28-00:03:29]  (Local) -> (LOCAL)[3]ElWosito'2cb: cambiemos
[2021:05:28-00:03:29]  (Local) -> (LOCAL)[1]Gomita|Z: solo el
[2021:05:28-00:03:31]  (Local) -> (LOCAL)[3]biya'2cb: unanse
[2021:05:28-00:03:31]  (Local) -> (LOCAL)[2]DARKAR: a
[2021:05:28-00:03:31]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: ud q es
[2021:05:28-00:03:33]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: >qw<
[2021:05:28-00:03:33]  (Local) -> (LOCAL)[3]ElWosito'2cb: deme por el recto
[2021:05:28-00:03:34]  ([Msg] de #aa00ffFLOREZINHO|CDG| para PsIcKo?'DeTemeer~ELN: oe le vendo el bandito :V) -> nil
[2021:05:28-00:03:35]  (Local) -> (LOCAL)[1]BenitoCamelas.AUC: buenas agente
[2021:05:28-00:03:35]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: >w<
[2021:05:28-00:03:36]  (Local) -> (LOCAL)[2]laliendra: uyyyyyy
[2021:05:28-00:03:38]  (Local) -> (LOCAL)[1]Gomita|Z: y es muy bueno con las flechas
[2021:05:28-00:03:40]  (Local) -> (LOCAL)[3]biya'2cb: cLARO
[2021:05:28-00:03:41]  (Local) -> (LOCAL)[2]KING[ELN]: donde lo consiguio?
[2021:05:28-00:03:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000ASH: y las tendra bindeadas o algo?
[2021:05:28-00:03:42]  (Local) -> (LOCAL)[3]lizi[CDG](roliando): uff hp tengo us muslo que uuyy
[2021:05:28-00:03:44]  (Global) -> #7F7F7F|DJ|#FF0000CareCaldo2cb|#1BC45Fâ˜…Æ§Æ§â˜…: COMPRO RARES NADA DE OCEANICS
[2021:05:28-00:03:45]  (Local) -> (LOCAL)[1]Gomita|Z: nono
[2021:05:28-00:03:46]  (Global) -> StiffBanquette3: buenas
[2021:05:28-00:03:46]  (Local) -> (LOCAL)[3]CareXhimbaaawZcb: oe
[2021:05:28-00:03:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000ASH: pa acelerar y eso
[2021:05:28-00:03:47]  (Local) -> (LOCAL)[1]braiderandres: ponte aguapanela
[2021:05:28-00:03:49]  (Global) -> Andres_Ramires||2cb|||#5EF5F7í ½í±»: XDD
[2021:05:28-00:03:50]  (Local) -> (LOCAL)[1]BenitoCamelas.AUC: que hace por aca tan lejos?d
[2021:05:28-00:03:50]  (Global) -> Happy: lpm
