This file was generated by Console at 2021:04:21-00:00:10



[2021:04:21-00:03:55]  (Local) -> (LOCAL)[1]RB26'2cb: pq
[2021:04:21-00:03:56]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: epiecelo cuando kiera paa
[2021:04:21-00:03:57]  (Local) -> (LOCAL)[24]#7F7F7F|ADM|#FF5C00Orgalor: ola ola
[2021:04:21-00:03:57]  (Global) -> PAU.|4k: xd
[2021:04:21-00:03:58]  (Local) -> (LOCAL)[24]ALIAS_TAVO: COMO SACO VEICULO
[2021:04:21-00:03:59]  (Local) -> (LOCAL)[24]HokaBigCock: digame falseo q eso me prende miamor
[2021:04:21-00:04:00]  (Local) -> (LOCAL)[24]CareCaldo'2cb: oe me buguie
[2021:04:21-00:04:02]  (Global) -> bazukito|4K: lol
[2021:04:21-00:04:02]  (Local) -> (LOCAL)[24]Mnrpatecumbias'LPxELN: ocampo
[2021:04:21-00:04:04]  (Local) -> (LOCAL)[24]Mnrpatecumbias'LPxELN: ocampo
[2021:04:21-00:04:06]  (Local) -> (LOCAL)[24]Mnrpatecumbias'LPxELN: ocampo
[2021:04:21-00:04:06]  (Local) -> (LOCAL)[2]takara.2cb: no se
[2021:04:21-00:04:06]  (Local) -> (LOCAL)[24]CareCaldo'2cb: le doy entrar evento y no me mete}
[2021:04:21-00:04:07]  (Global) -> RB26'2cb: nooocomoasi
[2021:04:21-00:04:07]  (Local) -> (LOCAL)[24]#7F7F7F|ADM|#FF5C00KevinOcampo: q
[2021:04:21-00:04:10]  (Local) -> (LOCAL)[24]HokaBigCock: xd
[2021:04:21-00:04:11]  (Local) -> (LOCAL)[23]Mnrpatecumbias'LPxELN: hola
[2021:04:21-00:04:13]  (Local) -> (LOCAL)[1]takara.2cb: no le digo q el rango es todo loco
[2021:04:21-00:04:13]  (Local) -> (LOCAL)[23]Mnrpatecumbias'LPxELN: jjjjjjjjjjjjjjj
[2021:04:21-00:04:15]  (Local) -> (LOCAL)[23]CareCaldo'2cb: quiza fue pq reconnecte estando en el evento
[2021:04:21-00:04:16]  (Local) -> (LOCAL)[23]HijoDe~RataChivos>|Z: ponga cbu
