This file was generated by Console at 2021:05:17-00:00:01



[2021:05:17-00:02:44]  (Phone:SMS) -> From ROGER*_*K | To: MenorKaguanAB | Message: qMessage...oe
[2021:05:17-00:02:50]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Jimenez: loca bajase
[2021:05:17-00:02:53]  (Local) -> (LOCAL)[9]camila:3cb: oyeeeee
[2021:05:17-00:02:53]  (Local) -> (LOCAL)[9]Raptus: ya lo hice una vez
[2021:05:17-00:02:54]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: es suyo?
[2021:05:17-00:02:54]  (Local) -> (LOCAL)[8]peneConcabezaBig: amosnos
[2021:05:17-00:02:54]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: DJ MIGUELM EN LA RADIO, PIDAN SUS PLAYS, SUS CANCIONES FAVORITAS Y PARCHENSE UN RATOO
[2021:05:17-00:02:56]  (Local) -> (LOCAL)[4]$^Lucifer^$: donde hay celucos?
[2021:05:17-00:02:59]  (Local) -> (LOCAL)[7]camila:3cb: ese tal juan me quito el carro
[2021:05:17-00:03:00]  (Local) -> (LOCAL)[8]Raptus: como reconecto?
[2021:05:17-00:03:01]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Jimenez: bajese
[2021:05:17-00:03:02]  (Local) -> (LOCAL)[3]Naruto|ZETAS: nos haces tp?
[2021:05:17-00:03:02]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Jimenez: eg
[2021:05:17-00:03:03]  (Local) -> (LOCAL)[6]ivan'2cb: ai
[2021:05:17-00:03:05]  (Local) -> (LOCAL)[7]Prada<~|Z|: Jimenez
[2021:05:17-00:03:05]  (Local) -> (LOCAL)[9]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: /reconnect
[2021:05:17-00:03:05]  (Local) -> (LOCAL)[4]Alberto_ValamadreCDG: Con f3
[2021:05:17-00:03:09]  (Local) -> (LOCAL)[8]camila:3cb: elll
[2021:05:17-00:03:10]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Jimenez: loca
[2021:05:17-00:03:10]  (Local) -> (LOCAL)[7]Prada<~|Z|: Si a mi me matan
[2021:05:17-00:03:11]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: es suyo?
[2021:05:17-00:03:14]  (Global) -> Estremesur[CDG]: DJ COLOCAME MERCURY DE GOSTHEMANE
[2021:05:17-00:03:15]  (Local) -> (LOCAL)[3]$^Lucifer^$: a breve
[2021:05:17-00:03:16]  (Global) -> BajaPantys420|ELN: DJJ ponme una guarachita un rato porfavor
[2021:05:17-00:03:17]  (Local) -> (LOCAL)[5]Prada<~|Z|: puedo venir de nuevo
[2021:05:17-00:03:17]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: PARA PEDIR UN PLAY PORFAVOR DECIR EL TITULO DE LA CANCIÓN Y EL NOMBRE DEL ARTISTA
[2021:05:17-00:03:21]  (Local) -> (LOCAL)[3]Alberto_ValamadreCDG: Con g
[2021:05:17-00:03:22]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: R PUESSSSS
[2021:05:17-00:03:22]  (Global) -> ROGER*_*K: o
[2021:05:17-00:03:26]  (Local) -> (LOCAL)[7]camila:3cb: pero haga algo por favor
[2021:05:17-00:03:30]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: haga algo de que
[2021:05:17-00:03:32]  (Global) -> EDIMBERTHEProd1gy'2cb|#9E016Cඞ: Q DEMORA LA CUCHA ME VA A PEGAR POR VISIOSO AL MTA
[2021:05:17-00:03:32]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: EY PERO GUARACHA HUBO POR UNA HORA XD
[2021:05:17-00:03:34]  (Global) -> Henry|: gasofa 0
[2021:05:17-00:03:35]  (Local) -> (LOCAL)[1]$^Lucifer^$: sisa hace arto que no juego mta
[2021:05:17-00:03:35]  (Local) -> (LOCAL)[1]DARC: ahora?
[2021:05:17-00:03:37]  (Local) -> (LOCAL)[7]camila:3cb: me quito elc arrooo
[2021:05:17-00:03:38]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: le pregunto por tercera vez
[2021:05:17-00:03:39]  (Local) -> (LOCAL)[1]DARC: t/sound
[2021:05:17-00:03:39]  (Global) -> BajaPantys420|ELN: joa :c
[2021:05:17-00:03:40]  (Local) -> (LOCAL)[16]Prada<~|Z|: Jimenez
[2021:05:17-00:03:42]  (Global) -> BajaPantys420|ELN: dale entonces
[2021:05:17-00:03:42]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: ES SUYO?
[2021:05:17-00:03:44]  (Phone:SMS) -> From ROGER*_*K | To: MenorKaguanAB | Message: te boy
[2021:05:17-00:03:45]  (Global) -> asquez[ELN]: DJ DESPUES PONES EL LOOK AT ME
[2021:05:17-00:03:47]  (Global) -> Estremesur[CDG]: no mas guaracha, colocame mercury de gosthemane
[2021:05:17-00:03:47]  (Local) -> (LOCAL)[7]camila:3cb: SIIIIIII
[2021:05:17-00:03:49]  (Local) -> (LOCAL)[17]Oreo: oiga
[2021:05:17-00:03:50]  (Local) -> (LOCAL)[16]Prada<~|Z|: Jimenez
[2021:05:17-00:03:50]  (Global) -> Luis|CDG||#1B2ABA������: aaaaaaaaaaa
[2021:05:17-00:03:53]  (Phone:SMS) -> From ROGER*_*K | To: MenorKaguanAB | Message: acer narco
[2021:05:17-00:03:53]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: Ah bueno facil si responde
[2021:05:17-00:03:53]  (Local) -> (LOCAL)[16]ShadowHunter[EVG]: q
[2021:05:17-00:03:54]  (Global) -> Nestor_Alejandro: LIL XANZ - BETRAYED
[2021:05:17-00:03:55]  (Local) -> (LOCAL)[6]camila:3cb: MI NOVIO ME LO ACABO D EPONER
[2021:05:17-00:03:56]  (Local) -> (LOCAL)[17]Oreo: cochino
[2021:05:17-00:03:59]  (Global) -> BACHATOMBO|CDG|: Hola buenas tardes pa pedir "Las leyendas nunca mueren" del maik tawers
[2021:05:17-00:04:00]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: desde el celular vuelve y lo trae a usted
[2021:05:17-00:04:00]  (Local) -> (LOCAL)[16]ShadowHunter[EVG]: shito
[2021:05:17-00:04:00]  (Local) -> (LOCAL)[1]$^Lucifer^$: vamos a robar y6 matar tombos
[2021:05:17-00:04:01]  (Local) -> (LOCAL)[16]peneConcabezaBig: aa
[2021:05:17-00:04:02]  (Local) -> (LOCAL)[4]serpe: bea ermano
[2021:05:17-00:04:02]  (Global) -> EDIMBERTHEProd1gy'2cb|#9E016Cඞ: afanen 
[2021:05:17-00:04:05]  (Phone:SMS) -> From ROGER*_*K | To: MenorKaguanAB | Message: vamos por armas
[2021:05:17-00:04:07]  (Local) -> (LOCAL)[15]Oreo: ese ivan duq si es feo
[2021:05:17-00:04:08]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: PERE
[2021:05:17-00:04:09]  (Local) -> (LOCAL)[1]JairSad: jajajajaa
[2021:05:17-00:04:11]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: MUCHA GENTE XD
[2021:05:17-00:04:13]  (Local) -> (LOCAL)[8]camila:3cb: como hago eso?
[2021:05:17-00:04:14]  (Global) -> #7F7F7F|DJ|#FF5C00MiguelM[ELN]: PERE VEO
[2021:05:17-00:04:14]  (Local) -> (LOCAL)[1]Alberto_ValamadreCDG: ¿Y como robamos? xd
[2021:05:17-00:04:16]  (Local) -> (LOCAL)[1]$^Lucifer^$: necesito armas
[2021:05:17-00:04:18]  (Local) -> (LOCAL)[3]serpe: bea ermano
[2021:05:17-00:04:18]  (Global) -> BajaPantys420|ELN: Ponme purrito apa DEL FERCHOO 
[2021:05:17-00:04:19]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: abre celular con F3
[2021:05:17-00:04:21]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRaw: carros
[2021:05:17-00:04:22]  (Local) -> (LOCAL)[16]Prada<~|Z|: Jimenez
[2021:05:17-00:04:22]  (Global) -> BajaPantys420|ELN: porfavoe
