This file was generated by Console at 2020:09:12-00:00:00



[2020:09:12-00:04:35]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: daniela...
[2020:09:12-00:04:36]  (Global) -> Mr.Nea.: eso
[2020:09:12-00:04:36]  (Global) -> Haski_Scott: Ando pescando
[2020:09:12-00:04:37]  (Global) -> Coronel_Mario: ajajaj
[2020:09:12-00:04:40]  (Global) -> ChimboMaster69: ale papi
[2020:09:12-00:04:41]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: NOOOOOOOO
[2020:09:12-00:04:41]  (Local) -> (LOCAL)[1][GT]JuanesPastor: tututututuru
[2020:09:12-00:04:45]  (Local) -> (LOCAL)[2]BrayTaxista: unu
[2020:09:12-00:04:49]  (Local) -> (LOCAL)[2][Z]XohyanGuaracha: ola
[2020:09:12-00:04:49]  (Global) -> Haski_Scott: ademas ya tome las 10k
[2020:09:12-00:04:49]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: *cuelga*
[2020:09:12-00:04:51]  (Local) -> (LOCAL)[1]Coronel_Mario: si ajajaj
[2020:09:12-00:04:52]  (Global) -> Haski_Scott: de las veces q te mate
[2020:09:12-00:04:55]  (Global) -> Haski_Scott: incluso tome mas
[2020:09:12-00:04:58]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: bray
[2020:09:12-00:05:01]  (Local) -> (LOCAL)[2]BrayTaxista: dime
[2020:09:12-00:05:02]  (Global) -> [GT]JuanesPastor: que va uno culea con un tema de yimmy guitierrez
[2020:09:12-00:05:02]  (Global) -> DotorAlbareto: quitese
[2020:09:12-00:05:03]  (Global) -> (RCA)GustavoPetro: JAJAJA ESO CREE
[2020:09:12-00:05:04]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: daniela
[2020:09:12-00:05:05]  (Global) -> DotorAlbareto: vayase
[2020:09:12-00:05:07]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: sEÑOR, ¿tA BIEN?
[2020:09:12-00:05:07]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: ...
[2020:09:12-00:05:08]  (Local) -> (LOCAL)[1]VALLUNITO: Muevase
[2020:09:12-00:05:10]  (Global) -> [Z]opjcon17fps: donde se van a casar
[2020:09:12-00:05:11]  (Global) -> Haski_Scott: EZ
[2020:09:12-00:05:12]  (Team - Law Enforcement) -> (TEAM)Coronel_Mario: jaj
[2020:09:12-00:05:15]  (Local) -> (LOCAL)[2]BrayTaxista: que paso...
[2020:09:12-00:05:18]  (Global) -> [Z]opjcon17fps: ay
[2020:09:12-00:05:20]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: poneme una de diomede
[2020:09:12-00:05:21]  (Local) -> (LOCAL)[3]JuanDaGamer10: coronel
[2020:09:12-00:05:22]  (Global) -> ChimboMaster69: chao mor
[2020:09:12-00:05:26]  (Global) -> [GT]JuanesPastor: me critican pq yo
[2020:09:12-00:05:26]  (Local) -> (LOCAL)[6]POPI(BORRACHO): PERRAAAAAAAS
[2020:09:12-00:05:28]  (Global) -> Coronel_Mario: digame patrullero
[2020:09:12-00:05:31]  (Local) -> (LOCAL)[2]Coronel_Mario: digame patrullero
[2020:09:12-00:05:36]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: señorita me decia que iba para donde
[2020:09:12-00:05:36]  (Local) -> (LOCAL)[7]POPI(BORRACHO): JSJSJSJ
[2020:09:12-00:05:37]  (Global) -> [Z]opjcon17fps: oe
[2020:09:12-00:05:38]  (Global) -> VALLUNITO: Muevase
[2020:09:12-00:05:39]  (Global) -> [GT]JuanesPastor: soy mujeriego y bebedor
[2020:09:12-00:05:40]  (Local) -> (LOCAL)[2]JuanDaGamer10: como hago para ser detective ?
[2020:09:12-00:05:42]  (Global) -> [Z]opjcon17fps: oe
[2020:09:12-00:05:45]  (Global) -> TamalconPan: ya va
[2020:09:12-00:05:47]  (Global) -> (RCA)GustavoPetro: OE
[2020:09:12-00:05:49]  (Global) -> Elcarlitos: LADRON
[2020:09:12-00:05:50]  (Global) -> Coronel_Mario: cuantas capturas tiene?
[2020:09:12-00:05:52]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: A olvidar a DAniela
[2020:09:12-00:05:52]  (Global) -> (RCA)GustavoPetro: KE
[2020:09:12-00:05:53]  (Global) -> [Z]opjcon17fps: oe
[2020:09:12-00:05:55]  (Global) -> [Z]opjcon17fps: OE
[2020:09:12-00:05:57]  (Local) -> (LOCAL)[2]BrayTaxista: asies
[2020:09:12-00:05:58]  (Local) -> (LOCAL)[1]JuanDaGamer10: soy nuevo no s
[2020:09:12-00:06:00]  (Local) -> (LOCAL)[1]Coronel_Mario: f5
[2020:09:12-00:06:01]  (Global) -> Elcarlitos: YO ME  ACUERDO CUANDO ME ROBO LOS 30 K
[2020:09:12-00:06:03]  (Local) -> (LOCAL)[1]JuanDaGamer10: no se
[2020:09:12-00:06:03]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: si daniela me deja mando el taxi a la mierda
[2020:09:12-00:06:04]  (Global) -> [Z]opjcon17fps: laura
[2020:09:12-00:06:05]  (Local) -> (LOCAL)[3]dilan: volvi
[2020:09:12-00:06:07]  (Global) -> (RCA)GustavoPetro: KEEE
[2020:09:12-00:06:07]  (Local) -> (LOCAL)[1]Coronel_Mario: dele f5 y mira
[2020:09:12-00:06:09]  (Global) -> Elcarlitos: POR UN SERVIVIO DE TAXI
[2020:09:12-00:06:09]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: NOOOOOOOOOOOOOOOOOOOOOOO
[2020:09:12-00:06:10]  (Local) -> (LOCAL)[3]JuanPablo: oc
[2020:09:12-00:06:12]  (Global) -> (RCA)GustavoPetro: QUIEN ERES
[2020:09:12-00:06:16]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Señor calmse xfa
[2020:09:12-00:06:17]  (Global) -> juancarl78: Grande
[2020:09:12-00:06:18]  (Global) -> Coronel_Mario: donde dice arrest
[2020:09:12-00:06:18]  (Global) -> #7F7F7F|CVR|#FF7C00 OCAMPO: Con este tema si kuleo
[2020:09:12-00:06:18]  (Local) -> (LOCAL)[2]BrayTaxista: compa no le llore
[2020:09:12-00:06:20]  (Global) -> (S.AS)(CAD)ANDRES: OYE DONDE LO COMPARASTE
[2020:09:12-00:06:21]  (Global) -> Elcarlitos: COM QUE QUIEN SOY
[2020:09:12-00:06:21]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: *lo llama daniela*
[2020:09:12-00:06:21]  (Global) -> [Z]opjcon17fps: MATACHIVOS
[2020:09:12-00:06:22]  (Global) -> PapiCaliche: q va ocampo 
[2020:09:12-00:06:22]  (Local) -> (LOCAL)[2]BrayTaxista: calmese
[2020:09:12-00:06:24]  (Global) -> Elcarlitos: USTED ME ROBO
[2020:09:12-00:06:25]  (Local) -> (LOCAL)[2]JuanPablo: ocampo me dejo la nave mas lenta
[2020:09:12-00:06:25]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: alo
[2020:09:12-00:06:28]  (Local) -> (LOCAL)[2]JuanDaGamer10: tengo 0
[2020:09:12-00:06:30]  (Local) -> (LOCAL)[2](Cts)Lil.Dream.Taxista: amor?'
[2020:09:12-00:06:31]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: No llame a esa piroba
[2020:09:12-00:06:33]  (Global) -> GT|SebastianMontoya: uy QUE PASO
[2020:09:12-00:06:34]  (Local) -> (LOCAL)[2]BrayTaxista: tenemos un cliente
[2020:09:12-00:06:34]  (Local) -> (LOCAL)[2]dilan: enserio?
[2020:09:12-00:06:35]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#A9A9A9 SancochoPermaBan: Tramadoras todas
[2020:09:12-00:06:36]  (Global) -> (S.AS)(CAD)ANDRES: COMAPRASTE EL AUTO
[2020:09:12-00:06:37]  (Local) -> (LOCAL)[2]Coronel_Mario: ajajajaj pues tienes que llegar a 150
