This file was generated by Console at 2020:10:15-00:00:03



[2020:10:15-00:07:22]  (Global) -> (BGW)CHOCORRAMOCAMILOP: mucha gente, poca calidad
[2020:10:15-00:07:23]  (Global) -> CAPU|~CapuCurioso~|: Manzana
[2020:10:15-00:07:24]  (Global) -> (BGW)CHOCORRAMOCAMILOP: mucha gente, poca calidad
[2020:10:15-00:07:24]  (Global) -> 2cb'ARETE: a ok gracias
[2020:10:15-00:07:29]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF00002cBerna: ok recluter
[2020:10:15-00:07:31]  (Local) -> (LOCAL)[14]Jabon: si mira berna te vi corriendo rapido voy a hacer un video explicando pq hay razones para baneart
[2020:10:15-00:07:31]  (Global) -> 2cb'betobullicio: q veo
[2020:10:15-00:07:32]  (Local) -> (LOCAL)[14]pipo: hola me grabas hacendo algo ilegal?
[2020:10:15-00:07:33]  (Global) -> #7F7F7F|CVR|#A9A9A9 _SEMDS_: literalmente bgw
[2020:10:15-00:07:33]  (Global) -> 2cb'betobullicio: mandelo wbon
[2020:10:15-00:07:38]  (Global) -> 2cb'diilan: claro nosotros reclutamos gente con 12 horas
[2020:10:15-00:07:38]  (Global) -> [ZETAS]Tartarus: Oe Semen
[2020:10:15-00:07:40]  (Global) -> 2cb'diilan: claro
[2020:10:15-00:07:41]  (Global) -> [Z]_VALLUNITO_: q es bgw?
[2020:10:15-00:07:42]  (Local) -> (LOCAL)[2][S.A.S][S]Drogota: el mejor es el regina
[2020:10:15-00:07:43]  (Local) -> (LOCAL)[3]2cb'Chirretico: cho arabe
[2020:10:15-00:07:44]  (Global) -> #7F7F7F|CVR|#A9A9A9 _SEMDS_: qqq
[2020:10:15-00:07:51]  (Global) -> 2cb'betobullicio: dilan lo q inporta q sea pro
[2020:10:15-00:07:53]  (Local) -> (LOCAL)[16]Jabon: ey berna tuneame el carro
[2020:10:15-00:07:53]  (Global) -> [ZETAS]Tartarus: Felisitasiones por el lvl4 pa
[2020:10:15-00:07:54]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF00002cBerna: pille esta moto
[2020:10:15-00:07:54]  (Local) -> (LOCAL)[0][Z]XhnGuaracha: uy queeee
[2020:10:15-00:07:57]  (Local) -> (LOCAL)[6][GT]rafa_el_mocho: el pepe
[2020:10:15-00:07:58]  (Local) -> (LOCAL)[16]2cb'pablitopai: como decia camilo
[2020:10:15-00:07:59]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: gracias te quero
[2020:10:15-00:08:02]  (Global) -> 2cb'diilan: claro 
[2020:10:15-00:08:02]  (Global) -> [ZETAS]Tartarus: <3
[2020:10:15-00:08:03]  (Local) -> (LOCAL)[15]Jabon: SJAKSJ
[2020:10:15-00:08:06]  (Local) -> (LOCAL)[16][GT]JuanEstrada: reclutan puros costeños
