This file was generated by Console at 2020:11:05-00:00:02



[2020:11:05-00:04:47]  (Local) -> (LOCAL)[4]|MZ|Gaster|LD|: ahhh
[2020:11:05-00:04:48]  (Local) -> (LOCAL)[1]DoctorUribe: ale
[2020:11:05-00:04:50]  (Local) -> (LOCAL)[4]|MZ|Gaster|LD|: qque pereza nea
[2020:11:05-00:04:51]  (Local) -> (LOCAL)[11]EVG|Jhojan: umilde y gordo pa
[2020:11:05-00:04:51]  (Local) -> (LOCAL)[1]|DJ|2cb'Royal: q creo q me van a pagar mi sueldo de diyei
[2020:11:05-00:04:52]  (Global) -> ProductiveDagger70: yo condusco
[2020:11:05-00:04:53]  (Local) -> (LOCAL)[4]Diaz: Vaya experimentando
[2020:11:05-00:04:56]  (Local) -> (LOCAL)[1]DoctorUribe: epa
[2020:11:05-00:04:57]  (Global) -> |MZ|Gaster|LD|: ADMINS
[2020:11:05-00:04:58]  (Local) -> (LOCAL)[11]EVG|Jhojan: mas quieres
[2020:11:05-00:05:01]  (Local) -> (LOCAL)[4]Diaz: Y consigue una combi mela
[2020:11:05-00:05:05]  (Local) -> (LOCAL)[11]EVG|Jhojan: q mas quieres
[2020:11:05-00:05:05]  (Local) -> (LOCAL)[11][BGW]JulianGg: epa <3 como me gustan ;3333
[2020:11:05-00:05:06]  (Global) -> Maquiritoz: hola?
[2020:11:05-00:05:06]  (Local) -> (LOCAL)[2]|DJ|2cb'Royal: quiero comprar ese avion
[2020:11:05-00:05:07]  (Local) -> (LOCAL)[0]BAZUCO{LP}: omar
[2020:11:05-00:05:09]  (Local) -> (LOCAL)[2]|DJ|2cb'Royal: pero re ya
[2020:11:05-00:05:11]  (Local) -> (LOCAL)[2]MZ/vendoArepas: andese
[2020:11:05-00:05:11]  (Global) -> BAZUCO{LP}: omar re manco
[2020:11:05-00:05:11]  (Local) -> (LOCAL)[11]EVG|Jhojan: :3
[2020:11:05-00:05:12]  (Local) -> (LOCAL)[2]|DJ|2cb'Royal: pero ando resto de corto :c
[2020:11:05-00:05:12]  (Local) -> (LOCAL)[2]MZ/vendoArepas: gonorrea
[2020:11:05-00:05:13]  (Local) -> (LOCAL)[11][Zetas]Chatarra: oe
[2020:11:05-00:05:13]  (Local) -> (LOCAL)[1]Daaavd: mientar
[2020:11:05-00:05:15]  (Local) -> (LOCAL)[4]Diaz: a .l.
[2020:11:05-00:05:16]  (Local) -> (LOCAL)[2]Omar25: curame
[2020:11:05-00:05:16]  (Local) -> (LOCAL)[11]EVG|Jhojan: parlon
[2020:11:05-00:05:16]  (Local) -> (LOCAL)[11][BGW]JulianGg: hermozo
[2020:11:05-00:05:17]  (Global) -> |MZ|Gaster|LD|: PABLITO PAI Y KANA DE 2CB ESTAN RE JODONES NEA
[2020:11:05-00:05:18]  (Local) -> (LOCAL)[2]MZ/vendoArepas: que ya llegan 2cb
[2020:11:05-00:05:18]  (Local) -> (LOCAL)[2]DoctorUribe: x2
[2020:11:05-00:05:19]  (Global) -> |MZ|Gaster|LD|: AHH
[2020:11:05-00:05:19]  (Local) -> (LOCAL)[1]|MZ|santi: pa onde
[2020:11:05-00:05:19]  (Local) -> (LOCAL)[1]MZ/vendoArepas: jaja
[2020:11:05-00:05:21]  (Local) -> (LOCAL)[2]|DJ|2cb'Royal: un man me debe 7 palos mas los 3
[2020:11:05-00:05:22]  (Local) -> (LOCAL)[11][Zetas]Chatarra: llanero
[2020:11:05-00:05:23]  (Global) -> ProductiveDagger70: no puedo subir
[2020:11:05-00:05:23]  (Local) -> (LOCAL)[11]EVG|Jhojan: jum
[2020:11:05-00:05:23]  (Local) -> (LOCAL)[1]MZ/vendoArepas: no c
[2020:11:05-00:05:24]  (Local) -> (LOCAL)[1]Daaavd: mientras acerqueme a una loma
[2020:11:05-00:05:24]  (Global) -> |MZ|Gaster|LD|: Y YO TENGO JOB
[2020:11:05-00:05:27]  (Global) -> BAZUCO{LP}: con taser y solo me a cogido una vez jajajajajaj
[2020:11:05-00:05:28]  (Local) -> (LOCAL)[11][BGW]JulianGg: pero si te unieras a bgw mejor mas papasito
