This file was generated by Console at 2020:09:25-00:00:01



[2020:09:25-00:04:08]  (Local) -> (LOCAL)[3][Z]Lil.Dream: unu
[2020:09:25-00:04:10]  (Global) -> 2cbTU_DIOSA: oe como se sale
[2020:09:25-00:04:10]  (Local) -> (LOCAL)[2]2cB*PipeHpta: cuantas veces me ha matado?
[2020:09:25-00:04:10]  (Global) -> (BGW)camilop202: AAAAAAAAAAAAAAAAAAA
[2020:09:25-00:04:10]  (Global) -> PunySnake51: OE
[2020:09:25-00:04:10]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: Esta en el grupo de dc?
[2020:09:25-00:04:11]  (Global) -> (Z)IceWipe: LOLI EL de ls?
[2020:09:25-00:04:13]  (Local) -> (LOCAL)[2]Haski_Scott: vete a estudiar niño
[2020:09:25-00:04:13]  (Local) -> (LOCAL)[3]ZetasValeria: ./kiss 2
[2020:09:25-00:04:14]  (Local) -> (LOCAL)[3]GTJhojan: OJOWD
[2020:09:25-00:04:14]  (Global) -> (CTA)Jot4: dilo
[2020:09:25-00:04:14]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: hableme por ahi
[2020:09:25-00:04:14]  (Local) -> (LOCAL)[3][Z]Lil.Dream: /cd
[2020:09:25-00:04:15]  (Global) -> (BGW)camilop202: ESTOY BUG
[2020:09:25-00:04:16]  (Local) -> (LOCAL)[3]ZetasValeria: al tiempo
[2020:09:25-00:04:18]  (Global) -> PunySnake51: UNA PREGUNTA
[2020:09:25-00:04:19]  (Team - Criminals) -> (TEAM)2cB'Rolo: oee
[2020:09:25-00:04:21]  (Global) -> (BGW)camilop202: ALGUN ADMIN=
[2020:09:25-00:04:23]  (Global) -> (CTA)Jot4: sisas
[2020:09:25-00:04:23]  (Global) -> 2cBBUitre: diomedes
[2020:09:25-00:04:24]  (Local) -> (LOCAL)[3][Z]Lil.Dream: ajsjajas
[2020:09:25-00:04:24]  (Local) -> (LOCAL)[3]ZetasValeria: xdddddddd
[2020:09:25-00:04:25]  (Global) -> [$BABY$]~La_Loli~: si
