This file was generated by Console at 2020:08:31-07:23:23



[2020:08:31-07:28:04]  (Global) -> [GT]ElCejas3000: ponga /release Elcejas
[2020:08:31-07:28:06]  (Global) -> leoo: mk vamos a darle
[2020:08:31-07:28:07]  (Local) -> (LOCAL)[11]Tetranutra: esperemos a el sosio
[2020:08:31-07:28:07]  (Global) -> leoo: diga
[2020:08:31-07:28:09]  (Local) -> (LOCAL)[10][Z]Danielz: y popper xd
[2020:08:31-07:28:11]  (Global) -> [GT]ElCejas3000: igual no le van a pahar
[2020:08:31-07:28:11]  (Local) -> (LOCAL)[11]Q'Piskero: ale mi pa
[2020:08:31-07:28:12]  (Global) -> [Z]Danielz: vamos
[2020:08:31-07:28:13]  (Global) -> [GT]ElCejas3000: ni nada
[2020:08:31-07:28:15]  (Local) -> (LOCAL)[0][EVGT]SUMADRE420: monicaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2020:08:31-07:28:15]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF7C00 Balaclava: a peska moto
[2020:08:31-07:28:15]  (Global) -> leoo: creo que en la cana
[2020:08:31-07:28:15]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: voy
[2020:08:31-07:28:17]  (Global) -> [GT]ElCejas3000: es para desbuguearme
[2020:08:31-07:28:19]  (Local) -> (LOCAL)[1][CAPU]Pollo_Pepe: gua salir
[2020:08:31-07:28:21]  (Local) -> (LOCAL)[12][Z]Danielz: jajajajajaj xd
[2020:08:31-07:28:22]  (Global) -> leoo: vealo ajaj
[2020:08:31-07:28:24]  (Global) -> [Z]Danielz: jajaja mano
[2020:08:31-07:28:24]  (Local) -> (LOCAL)[3]Beltrandj: yo quiero ve
[2020:08:31-07:28:24]  (Local) -> (LOCAL)[1][CAPU]Pollo_Pepe: tengo sueño
[2020:08:31-07:28:25]  (Global) -> [GT]ElCejas3000: que tombo tan marica parce
[2020:08:31-07:28:27]  (Global) -> [GT]ElCejas3000: si es bruto
[2020:08:31-07:28:28]  (Global) -> leoo: jajaj
[2020:08:31-07:28:28]  (Local) -> (LOCAL)[1][CAPU]CapuGiyu: Ale bb
[2020:08:31-07:28:29]  (Global) -> [Z]Danielz: jajajajja
[2020:08:31-07:28:29]  (Local) -> (LOCAL)[1][CAPU]Pollo_Pepe: chao bb
[2020:08:31-07:28:29]  (Global) -> leoo: vengaaa
[2020:08:31-07:28:32]  (Local) -> (LOCAL)[1][CAPU]CapuGiyu: xao <3
[2020:08:31-07:28:33]  (Global) -> [GT]ElCejas3000: igual por el timepo me voy a soltar
[2020:08:31-07:28:34]  (Global) -> [Z]Danielz: mano
[2020:08:31-07:28:35]  (Global) -> Tetranutra: Q'Piskero
[2020:08:31-07:28:36]  (Global) -> [GT]ElCejas3000: usted es terco
[2020:08:31-07:28:36]  (Global) -> Tetranutra: dele pss
[2020:08:31-07:28:38]  (Local) -> (LOCAL)[5]Stevenea: estos pirobos que?
[2020:08:31-07:28:38]  (Global) -> Diosito: xd
[2020:08:31-07:28:43]  (Local) -> (LOCAL)[5]Beltrandj: un tuneo a mi infernus a que no la hagarra skadj
[2020:08:31-07:28:43]  (Local) -> (LOCAL)[3][EVGT]SUMADRE420: /cd
[2020:08:31-07:28:46]  (Global) -> Q'Piskero: donde andan
[2020:08:31-07:28:46]  (Global) -> (GT)LartPopper: MANO+
[2020:08:31-07:28:47]  (Global) -> Gonorreita: no se cual comprarme mamasita
[2020:08:31-07:28:47]  (Local) -> (LOCAL)[9]tussy: Q'Piskero
[2020:08:31-07:28:49]  (Local) -> (LOCAL)[8]tussy: suba hppp
[2020:08:31-07:28:50]  (Local) -> (LOCAL)[3][EVGT]SUMADRE420: nahh
[2020:08:31-07:28:54]  (Local) -> (LOCAL)[3][EVGT]SUMADRE420: con el otro
[2020:08:31-07:28:56]  (Local) -> (LOCAL)[1]Catalina420: Espere
[2020:08:31-07:28:56]  (Local) -> (LOCAL)[1]Stevenea: que monta gonorrea?
[2020:08:31-07:28:57]  (Local) -> (LOCAL)[3][EVGT]SUMADRE420: o miedo
[2020:08:31-07:28:58]  (Local) -> (LOCAL)[3][EVGT]CrudoMeansRaw: per
[2020:08:31-07:29:01]  (Global) -> [Z]Danielz: oe
[2020:08:31-07:29:01]  (Local) -> (LOCAL)[8]Tetranutra: aaa con g
[2020:08:31-07:29:01]  (Global) -> [GT]ElCejas3000: eggg parce
[2020:08:31-07:29:02]  (Local) -> (LOCAL)[5]Stevenea: ahh
