This file was generated by Console at 2020:12:15-00:00:01



[2020:12:15-00:02:41]  (Local) -> (LOCAL)[3]NestorGaviria: papeles de el taxi señor
[2020:12:15-00:02:42]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: me lo arregla
[2020:12:15-00:02:43]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00Jimenez: Voy a moderar un rato a ver ahora vengo
[2020:12:15-00:02:43]  (Local) -> (LOCAL)[1]CAPU|~Orion~|: sos nuevo?
[2020:12:15-00:02:44]  (Local) -> (LOCAL)[1]2cb'SapoHP: bueno
[2020:12:15-00:02:44]  (Global) -> Felip_Cor017: me rio? .-.
[2020:12:15-00:02:44]  (Local) -> (LOCAL)[2]2cb'CVR: no le dije q ya sali
[2020:12:15-00:02:46]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: xfa
[2020:12:15-00:02:46]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: si el mk no mata para que no quede en logs
[2020:12:15-00:02:47]  (Local) -> (LOCAL)[1]AK|Fear: jaja si parce pero al final le dan harto
[2020:12:15-00:02:47]  (Local) -> (LOCAL)[2]Ragnarok: el vip a 8 k ?
[2020:12:15-00:02:48]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00CrudoMeansRaw: epa
[2020:12:15-00:02:50]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF00002cb'tussy: szs
[2020:12:15-00:02:50]  (Local) -> (LOCAL)[1]AK|Fear: cuestion de paciencia
[2020:12:15-00:02:51]  (Local) -> (LOCAL)[1]AwayFromKeyboard: mi donador favorito
[2020:12:15-00:02:54]  (Global) -> Felip_Cor017: le doy plata
[2020:12:15-00:02:55]  (Local) -> (LOCAL)[4]LocaHp: :c
[2020:12:15-00:02:56]  (Local) -> (LOCAL)[1]AwayFromKeyboard: ah ud no es
[2020:12:15-00:02:58]  (Global) -> Felip_Cor017: pero dejame okme
[2020:12:15-00:03:00]  (Local) -> (LOCAL)[2]AwayFromKeyboard: feo
[2020:12:15-00:03:00]  (Local) -> (LOCAL)[2]2cb'Petito: no me dejes de pegar xd
[2020:12:15-00:03:02]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFLlanerito: que va sapa
[2020:12:15-00:03:04]  (Local) -> (LOCAL)[3]Ragnarok: o sea plata de aqui del juego ?
[2020:12:15-00:03:04]  (Local) -> (LOCAL)[5]LocaHp: crudo hacete un event
[2020:12:15-00:03:08]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF00002cb'tussy: q
[2020:12:15-00:03:09]  (Local) -> (LOCAL)[3]#7F7F7F|LG|#FF00002cb'tussy: nequi
[2020:12:15-00:03:11]  (Local) -> (LOCAL)[4]LocaHp: q esta como aburrido esto todo solo
[2020:12:15-00:03:12]  (Team - Services) -> (TEAM)jaime: szs apenas terminemos nos vemos y parchamos o que 
[2020:12:15-00:03:12]  (Local) -> (LOCAL)[0]|AK|PANCHO: /MEAR
[2020:12:15-00:03:13]  (Local) -> (LOCAL)[2]AwayFromKeyboard: ujajajaa
[2020:12:15-00:03:15]  (Global) -> |DJ|Royal: RADIO ACTIVA CON ROYALDJ
[2020:12:15-00:03:16]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: no se
[2020:12:15-00:03:17]  (Local) -> (LOCAL)[1]AK|Fear: hagale
[2020:12:15-00:03:19]  (Local) -> (LOCAL)[8]Jotapopo: por que otra vez?
[2020:12:15-00:03:20]  (Local) -> (LOCAL)[1]AK|Fear: vamos a ver
[2020:12:15-00:03:21]  (Global) -> threes917: xdxd
[2020:12:15-00:03:22]  (Local) -> (LOCAL)[1]AK|Fear: lo espero
[2020:12:15-00:03:23]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: Llanerito que si hacemos evento
[2020:12:15-00:03:26]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: xhn
[2020:12:15-00:03:26]  (Global) -> jaime:  DDONDE
[2020:12:15-00:03:27]  (Local) -> (LOCAL)[5]|EVG|Soltec: a
[2020:12:15-00:03:27]  (Local) -> (LOCAL)[1]AK|Fear: o me espera el que termine de primeras
[2020:12:15-00:03:28]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLlanerito: cual
