This file was generated by Console at 2020:11:16-00:00:00



[2020:11:16-00:05:52]  (Global) -> |COSTELAND|2cb'strinch: alguien q me preste 20k porfi, se los mando de una
[2020:11:16-00:05:57]  (Global) -> DonBasuco: hhahahahahahahahaahha
[2020:11:16-00:06:00]  (Local) -> (LOCAL)[1][Z]Petrosky: kien le aviso del ban? berna o un infiltrado ?
[2020:11:16-00:06:04]  (Local) -> (LOCAL)[3][NAZI]C4rtex: mire
[2020:11:16-00:06:08]  (Local) -> (LOCAL)[3][NAZI]C4rtex: 5 palos
[2020:11:16-00:06:13]  (Local) -> (LOCAL)[3]LDS-julian: que perro yhijo de puta
[2020:11:16-00:06:13]  (Local) -> (LOCAL)[1]Z-IceWipe: 416 le saque
[2020:11:16-00:06:18]  (Local) -> (LOCAL)[1]Z-IceWipe: ahora con nitro
[2020:11:16-00:06:22]  (Local) -> (LOCAL)[3]LDS-JuanPablo: bn
[2020:11:16-00:06:23]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: ya estoi concentron
[2020:11:16-00:06:25]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: dele conteo
[2020:11:16-00:06:25]  (Local) -> (LOCAL)[1]Z|tayson: es esta
[2020:11:16-00:06:27]  (Local) -> (LOCAL)[1]2cbbb: Me lo dijo semds
[2020:11:16-00:06:28]  (Local) -> (LOCAL)[3]LDS-JuanPablo: atentos
[2020:11:16-00:06:29]  (Local) -> (LOCAL)[3]LDS-JhonatanTree: este marico que
[2020:11:16-00:06:32]  (Local) -> (LOCAL)[1][NAZI]C4rtex: k
[2020:11:16-00:06:33]  (Local) -> (LOCAL)[3]LDS-julian: espere
[2020:11:16-00:06:34]  (Local) -> (LOCAL)[1][NAZI]C4rtex: q
[2020:11:16-00:06:34]  (Local) -> (LOCAL)[3]LDS-JhonatanTree: quieto
[2020:11:16-00:06:36]  (Local) -> (LOCAL)[3]LDS-JuanPablo: nos estan buscando
[2020:11:16-00:06:38]  (Local) -> (LOCAL)[1][Z]Petrosky: imposible ajsjas
[2020:11:16-00:06:39]  (Local) -> (LOCAL)[5]CapuLiso: oe
[2020:11:16-00:06:39]  (Local) -> (LOCAL)[1][Z]Maicke: a
[2020:11:16-00:06:41]  (Local) -> (LOCAL)[3]LDS-JuanPablo: quietosssss
[2020:11:16-00:06:42]  (Local) -> (LOCAL)[1][NAZI]C4rtex: q
[2020:11:16-00:06:42]  (Local) -> (LOCAL)[1][Z]Diego1FPS: no esta el mapeoXDDDD
[2020:11:16-00:06:43]  (Local) -> (LOCAL)[1]2cbbb: Preguntale
[2020:11:16-00:06:43]  (Local) -> (LOCAL)[1][NAZI]C4rtex: qqq
[2020:11:16-00:06:44]  (Local) -> (LOCAL)[6]Cheverry: a
[2020:11:16-00:06:45]  (Local) -> (LOCAL)[6]CapuLiso: encaneme pa
[2020:11:16-00:06:46]  (Local) -> (LOCAL)[1]2cbbb: xd
[2020:11:16-00:06:47]  (Local) -> (LOCAL)[1]Z-IceWipe: otra vez
[2020:11:16-00:06:48]  (Local) -> (LOCAL)[1]Z-IceWipe: vida hpta
[2020:11:16-00:06:49]  (Local) -> (LOCAL)[3]LDS-JuanPablo: ash julian si jode
[2020:11:16-00:06:50]  (Local) -> (LOCAL)[3]LDS-JhonatanTree: a huevonao
[2020:11:16-00:06:54]  (Local) -> (LOCAL)[1][Z]Diego1FPS: MLP BALACLAVA
[2020:11:16-00:06:55]  (Local) -> (LOCAL)[3]PATRON: ya
[2020:11:16-00:06:56]  (Local) -> (LOCAL)[3]LDS-JuanPablo: bn
[2020:11:16-00:06:57]  (Global) -> {c.o.p.e.s}PAULO: OE
[2020:11:16-00:07:00]  (Local) -> (LOCAL)[3]CapuLiso: sapo
[2020:11:16-00:07:00]  (Local) -> (LOCAL)[1]Z~|Loli|~: ucuanto
[2020:11:16-00:07:00]  (Local) -> (LOCAL)[2]LDS-JuanPablo: cuidadi que nos estan buscando
[2020:11:16-00:07:02]  (Local) -> (LOCAL)[1]Z-IceWipe: saquelo xd
[2020:11:16-00:07:03]  (Local) -> (LOCAL)[2]PATRON: asi vamos
[2020:11:16-00:07:05]  (Local) -> (LOCAL)[1]Z-IceWipe: 500 largos
[2020:11:16-00:07:06]  (Local) -> (LOCAL)[2]LDS-JuanPablo: hay que ser sigilosos
[2020:11:16-00:07:07]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: hp me agarro de ijo
[2020:11:16-00:07:08]  (Local) -> (LOCAL)[2]LDS-JhonatanTree: hm
[2020:11:16-00:07:09]  (Local) -> (LOCAL)[2]LDS-JhonatanTree: ok
[2020:11:16-00:07:09]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: otros 2
[2020:11:16-00:07:12]  (Local) -> (LOCAL)[1]Z-IceWipe: pero hagamosla de para aca
[2020:11:16-00:07:12]  (Local) -> (LOCAL)[1]Z|tayson: pa dodne vamso
[2020:11:16-00:07:12]  (Local) -> (LOCAL)[2]LDS-JuanPablo: pero yo tengo un amigo
[2020:11:16-00:07:14]  (Local) -> (LOCAL)[1]Z~|Loli|~: y sigue subiendo
[2020:11:16-00:07:15]  (Local) -> (LOCAL)[1]Z-IceWipe: vamos
[2020:11:16-00:07:16]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: y me voy a comer xd
[2020:11:16-00:07:16]  (Local) -> (LOCAL)[1][Z]Maicke: jsahja asi aprende
[2020:11:16-00:07:17]  (Local) -> (LOCAL)[1]Z-IceWipe: si
[2020:11:16-00:07:17]  (Local) -> (LOCAL)[0]LDS-julian: el pirobo enpeso
[2020:11:16-00:07:19]  (Local) -> (LOCAL)[2]LDS-JuanPablo: se llama pablo escobar
[2020:11:16-00:07:19]  (Local) -> (LOCAL)[1][Z]Maicke: melisimo
[2020:11:16-00:07:22]  (Local) -> (LOCAL)[2]LDS-JuanPablo: si lo han escuchado?
[2020:11:16-00:07:23]  (Local) -> (LOCAL)[2]PATRON: mmm
[2020:11:16-00:07:26]  (Local) -> (LOCAL)[2]LDS-JhonatanTree: si
[2020:11:16-00:07:29]  (Local) -> (LOCAL)[2]PATRON: si
[2020:11:16-00:07:33]  (Local) -> (LOCAL)[2]LDS-JuanPablo: yo le regale una mansion
[2020:11:16-00:07:33]  (Local) -> (LOCAL)[1][Z]Diego1FPS: DONDE LO DEJO
[2020:11:16-00:07:38]  (Local) -> (LOCAL)[2]LDS-JuanPablo: haya nos podemos esconder
[2020:11:16-00:07:39]  (Local) -> (LOCAL)[1]Z|tayson: deje aca
[2020:11:16-00:07:40]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: aaa
[2020:11:16-00:07:40]  (Global) -> ReizerB: Quien es level 1 para arriba ?
[2020:11:16-00:07:41]  (Local) -> (LOCAL)[1][Z]Maicke: q
[2020:11:16-00:07:43]  (Local) -> (LOCAL)[2]LDS-JhonatanTree: vamos pa aya pies
[2020:11:16-00:07:44]  (Local) -> (LOCAL)[2]PATRON: deje me decirle q con ese man no hablo pero bien
[2020:11:16-00:07:44]  (Local) -> (LOCAL)[2]LDS-JuanPablo: esta a unos km de aqui
[2020:11:16-00:07:48]  (Global) -> #7F7F7F|CVR|#0064FFEl_Suso: Lvl 1 exactamente o..
[2020:11:16-00:07:51]  (Local) -> (LOCAL)[2]LDS-JuanPablo: bn
[2020:11:16-00:07:51]  (Global) -> Diaz: Ud
[2020:11:16-00:07:52]  (Global) -> #7F7F7F|CVR|#0064FFEl_Suso: 2 para arriba
[2020:11:16-00:07:55]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: hola
