This file was generated by Console at 2020:10:23-00:00:01



[2020:10:23-00:02:56]  (Local) -> (LOCAL)[1][Z]Lil.Dream: sube
[2020:10:23-00:02:57]  (Local) -> (LOCAL)[1]CAPU|Pajizo: no
[2020:10:23-00:03:00]  (Local) -> (LOCAL)[4]NELSON_MANDELA: ven
[2020:10:23-00:03:03]  (Local) -> (LOCAL)[3]C4rtex: araganiemos
[2020:10:23-00:03:04]  (Local) -> (LOCAL)[1]Katalina*_*P*: ponte la radio
[2020:10:23-00:03:04]  (Team - Services) -> (TEAM)juan: VENGA
[2020:10:23-00:03:07]  (Global) -> |Yandrix|: ja
[2020:10:23-00:03:08]  (Local) -> (LOCAL)[2]BART: va
[2020:10:23-00:03:09]  (Local) -> (LOCAL)[2]2cb'Escobar: ahora te pago
[2020:10:23-00:03:09]  (Global) -> |Yandrix|: ja
[2020:10:23-00:03:10]  (Local) -> (LOCAL)[4](EVG)TU_DIOSA: XD
[2020:10:23-00:03:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: vamos
[2020:10:23-00:03:10]  (Local) -> (LOCAL)[1]Katalina*_*P*: aver que ese dj
[2020:10:23-00:03:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: jummm pegandolo
[2020:10:23-00:03:11]  (Local) -> (LOCAL)[1][Z]Lil.Dream: se me bugea
[2020:10:23-00:03:11]  (Local) -> (LOCAL)[4]NELSON_MANDELA: te curo?
[2020:10:23-00:03:13]  (Local) -> (LOCAL)[3]carlos: /olida de cola
[2020:10:23-00:03:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: xdd
[2020:10:23-00:03:14]  (Global) -> tameooh: si
[2020:10:23-00:03:14]  (Local) -> (LOCAL)[2]2cb'Chirretico: lok el vago a 1 de vida
[2020:10:23-00:03:16]  (Local) -> (LOCAL)[2]2cb'Escobar: asi decia cuando era pore
[2020:10:23-00:03:17]  (Local) -> (LOCAL)[2]2cb'Chirretico: y no lo mata
[2020:10:23-00:03:17]  (Local) -> (LOCAL)[4]NELSON_MANDELA: ven
[2020:10:23-00:03:20]  (Local) -> (LOCAL)[1]Katalina*_*P*: a bueno no pasa nd bb
[2020:10:23-00:03:22]  (Global) -> DonHector: SI TU NOVIO NO TE MAMA EL CULO PA ESO QUE NO MAME
[2020:10:23-00:03:25]  (Local) -> (LOCAL)[1]2cb-SuPerraMadre: toy llebado
[2020:10:23-00:03:27]  (Local) -> (LOCAL)[2]2cb'Escobar: pobr
[2020:10:23-00:03:28]  (Local) -> (LOCAL)[2]LoutishKangaroo88: quitate puerco deja de estar horny
[2020:10:23-00:03:31]  (Local) -> (LOCAL)[2]BART: JAJAJJAJA
[2020:10:23-00:03:31]  (Global) -> _Danielmatria$_: q quiereeee
[2020:10:23-00:03:31]  (Local) -> (LOCAL)[2]carlos: Bamos aafuera sielo
[2020:10:23-00:03:40]  (Local) -> (LOCAL)[2]C4rtex: aaa sin gasolina
[2020:10:23-00:03:41]  (Local) -> (LOCAL)[2](GT)MIGUEL1450: yo?
[2020:10:23-00:03:42]  (Local) -> (LOCAL)[1][GT]~AndresRector: a
[2020:10:23-00:03:42]  (Local) -> (LOCAL)[2][Z]Lil.Dream: royal es gei
[2020:10:23-00:03:42]  (Local) -> (LOCAL)[3]NELSON_MANDELA: ya
[2020:10:23-00:03:44]  (Local) -> (LOCAL)[2][Z]Lil.Dream: gracias
