This file was generated by Console at 2021:01:23-00:00:00



[2021:01:23-00:02:20]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: oe disparem
[2021:01:23-00:02:21]  (Local) -> (LOCAL)[2]LocaHp: nosotros estabamos roleando una turf
[2021:01:23-00:02:21]  (Local) -> (LOCAL)[7]2cbSamuelorland: admin xd
[2021:01:23-00:02:24]  (Local) -> (LOCAL)[4]2cb'ELVIEJOJUANCHO: aa
[2021:01:23-00:02:25]  (Local) -> (LOCAL)[3]alfonso: AAAAAAAAAAA
[2021:01:23-00:02:25]  (Global) -> AS*ChapoGuzman*SWAT: como trabajo?
[2021:01:23-00:02:27]  (Local) -> (LOCAL)[4]LocaHp: y ud esta jodiendo rol pa
[2021:01:23-00:02:27]  (Local) -> (LOCAL)[1]Paula:3_2cb: nio+
[2021:01:23-00:02:29]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: ;(
[2021:01:23-00:02:30]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00CrudoMeansRawEVG: no sé yo no los elijo jaja
[2021:01:23-00:02:32]  (Local) -> (LOCAL)[4]LocaHp: si o q fear
[2021:01:23-00:02:33]  (Local) -> (LOCAL)[1]Paula:3_2cb: no
[2021:01:23-00:02:33]  (Local) -> (LOCAL)[2]BAZUKITO[Z]:3: que?
[2021:01:23-00:02:34]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00CrudoMeansRawEVG: teniendo buen comportamiento
[2021:01:23-00:02:35]  (Local) -> (LOCAL)[4]Fear~2cb: jajajaj
[2021:01:23-00:02:35]  (Local) -> (LOCAL)[7]2cbSamuelorland: xd
[2021:01:23-00:02:35]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00CrudoMeansRawEVG: et
[2021:01:23-00:02:36]  (Local) -> (LOCAL)[7]francovillar|AK|: aa
[2021:01:23-00:02:36]  (Local) -> (LOCAL)[4]Fear~2cb: si
[2021:01:23-00:02:37]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: UCANTO LE QUEDA
[2021:01:23-00:02:37]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00CrudoMeansRawEVG: etc
[2021:01:23-00:02:38]  (Local) -> (LOCAL)[7][Ak]Its_Garz: ñero no me pueden dejar en paz
[2021:01:23-00:02:40]  (Local) -> (LOCAL)[7][Ak]Its_Garz: si chimbean
[2021:01:23-00:02:40]  (Local) -> (LOCAL)[1][Ak]ElFlechas: DE QUE
[2021:01:23-00:02:42]  (Local) -> (LOCAL)[6]2cbSamuelorland: oks
[2021:01:23-00:02:42]  (Local) -> (LOCAL)[4]Fear~2cb: quedo melo
[2021:01:23-00:02:43]  (Local) -> (LOCAL)[1]|AK|MykeTowers: nio aya
[2021:01:23-00:02:44]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00CrudoMeansRawEVG: eso lo ven todos
[2021:01:23-00:02:45]  (Global) -> LocaHp:  ( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2021:01:23-00:02:45]  (Local) -> (LOCAL)[2]BAZUKITO[Z]:3: 130
[2021:01:23-00:02:46]  (Global) -> LocaHp: Pues ud malparida ajjjjjj
[2021:01:23-00:02:48]  (Local) -> (LOCAL)[1][Ak]ElFlechas: ?
[2021:01:23-00:02:51]  (Local) -> (LOCAL)[1]DiscreetAbdomen4: Uff mero plonazo
[2021:01:23-00:02:52]  (Global) -> alfonso: ok
[2021:01:23-00:02:52]  (Local) -> (LOCAL)[2]LocaHp: ey pero
[2021:01:23-00:02:53]  (Global) -> (RCA)LordSekrix: alo
[2021:01:23-00:02:53]  (Local) -> (LOCAL)[1]AS*ChapoGuzman*SWAT: de lo que sea, para ganar dinero
[2021:01:23-00:02:55]  (Local) -> (LOCAL)[6]2cbSamuelorland: oe
[2021:01:23-00:02:56]  (Local) -> (LOCAL)[2]LocaHp: hasta matas arrestados
[2021:01:23-00:02:56]  (Global) -> (SANTIAGO): quica
[2021:01:23-00:02:56]  (Team - Services) -> (TEAM)El_ZAAARCOOO: ahsadssssssssssdaddddm
[2021:01:23-00:02:57]  (Local) -> (LOCAL)[6][O]reo~|GT: diosmio
[2021:01:23-00:02:58]  (Local) -> (LOCAL)[2]LocaHp: mamaverga
[2021:01:23-00:02:59]  (Local) -> (LOCAL)[7]TIROFIJO420: A
[2021:01:23-00:02:59]  (Local) -> (LOCAL)[1]DonPini: sisas melo
[2021:01:23-00:02:59]  (Global) -> JuanFelipeVT[GT]: papi que
[2021:01:23-00:03:00]  (Local) -> (LOCAL)[1][Ak]ElFlechas: VENGA
[2021:01:23-00:03:00]  (Local) -> (LOCAL)[1]AS*ChapoGuzman*SWAT: soy nuevo en este server
[2021:01:23-00:03:01]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: me espera voy 10 segundos mas
[2021:01:23-00:03:03]  (Local) -> (LOCAL)[8]2cbSamuelorland: donde comopro el kart
[2021:01:23-00:03:03]  (Global) -> (RCA)LordSekrix: como fue
[2021:01:23-00:03:03]  (Global) -> JuanFelipeVT[GT]: tienes menudo
[2021:01:23-00:03:04]  (Global) -> (SANTIAGO): muestre
[2021:01:23-00:03:07]  (Local) -> (LOCAL)[3]alfonso: se va a unir a la gang o que=
[2021:01:23-00:03:08]  (Global) -> LocaHp: ey yo soy ak 47
[2021:01:23-00:03:08]  (Local) -> (LOCAL)[1]Jolines|2cb: y a donde va a ir
[2021:01:23-00:03:08]  (Local) -> (LOCAL)[7]TIROFIJO420: es rare
[2021:01:23-00:03:08]  (Local) -> (LOCAL)[3]alfonso: ??
[2021:01:23-00:03:10]  (Local) -> (LOCAL)[1]Jolines|2cb: ajajaja
[2021:01:23-00:03:10]  (Global) -> Kegorrrr|CDP|: oeee
[2021:01:23-00:03:11]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: entre
[2021:01:23-00:03:12]  (Global) -> CarlosCastano: Noks
[2021:01:23-00:03:13]  (Local) -> (LOCAL)[1][Ak]ElFlechas: de le g
[2021:01:23-00:03:14]  (Global) -> Panther963'Sayayin: metido .l.
[2021:01:23-00:03:14]  (Global) -> alfonso: yo tabn
[2021:01:23-00:03:14]  (Local) -> (LOCAL)[6]2cbSamuelorland: cuanto le costo
[2021:01:23-00:03:14]  (Global) -> Kegorrrr|CDP|: zarcooo
[2021:01:23-00:03:14]  (Local) -> (LOCAL)[2]BAZUKITO[Z]:3: ok depronto ahorita voy a turfear
[2021:01:23-00:03:15]  (Local) -> (LOCAL)[6]TIROFIJO420: no lo venden tiene que ser que alguein
[2021:01:23-00:03:15]  (Global) -> (RCA)LordSekrix: tengo morados na ma
[2021:01:23-00:03:16]  (Local) -> (LOCAL)[6]TIROFIJO420: se lo venda
[2021:01:23-00:03:19]  (Global) -> DiscreetAbdomen4: pa domde vamos?
[2021:01:23-00:03:19]  (Global) -> JuanFelipeVT[GT]: bien
[2021:01:23-00:03:20]  (Local) -> (LOCAL)[1]69Kid: oe
[2021:01:23-00:03:20]  (Local) -> (LOCAL)[6][O]reo~|GT: colombia
[2021:01:23-00:03:22]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF8C00|El[Gocho]|: COPIE POR EL GC
[2021:01:23-00:03:22]  (Local) -> (LOCAL)[1]Cheverry: a
[2021:01:23-00:03:23]  (Local) -> (LOCAL)[7][O]reo~|GT: arriba
[2021:01:23-00:03:23]  (Global) -> BrightStinkbug77:  /ayuda animaciones
[2021:01:23-00:03:24]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: turfear??
[2021:01:23-00:03:25]  (Local) -> (LOCAL)[1]DonPini: cojio el lsd?
[2021:01:23-00:03:25]  (Local) -> (LOCAL)[1]Fear~2cb: no alcanza pa jajaja
[2021:01:23-00:03:26]  (Local) -> (LOCAL)[1]AS*ChapoGuzman*SWAT: lo basico lo se, pero para ganr dindero no
[2021:01:23-00:03:27]  (Local) -> (LOCAL)[1][Ak]ElFlechas: de rapi
[2021:01:23-00:03:27]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: q jeso
[2021:01:23-00:03:30]  (Local) -> (LOCAL)[2]69Kid: triste por lo del lambo?
[2021:01:23-00:03:32]  (Local) -> (LOCAL)[5]La-Quica|SICARIO|2cb|: xD
[2021:01:23-00:03:34]  (Global) -> DiscreetAbdomen4: sisa
[2021:01:23-00:03:34]  (Local) -> (LOCAL)[3][Perico~|GT]: pare
[2021:01:23-00:03:34]  (Local) -> (LOCAL)[2]BAZUKITO[Z]:3: no sabes que es turfear? xd
[2021:01:23-00:03:34]  (Local) -> (LOCAL)[1]Fear~2cb: nos vamos a soltar
[2021:01:23-00:03:36]  (Local) -> (LOCAL)[2]Cheverry: jajaja sisas
[2021:01:23-00:03:37]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: no
[2021:01:23-00:03:39]  (Local) -> (LOCAL)[3]Buitre[2cB]: me cia
[2021:01:23-00:03:39]  (Local) -> (LOCAL)[6]2cbSamuelorland: ope
[2021:01:23-00:03:40]  (Local) -> (LOCAL)[3][O]reo~|GT: xddd
[2021:01:23-00:03:41]  (Global) -> LocaHp: ajjj me solte
[2021:01:23-00:03:41]  (Local) -> (LOCAL)[1]DonPini: lo va a probar?
