This file was generated by Console at 2020:10:18-00:00:10



[2020:10:18-00:09:39]  (Local) -> (LOCAL)[2](Z)Polo: los sigo porrq me cojio
[2020:10:18-00:09:39]  (Global) -> 2cb*care_loco: OCAMPO DONDE HPTAS ESTAN
[2020:10:18-00:09:40]  (Local) -> (LOCAL)[2]Ceyjiei: nisiquiera se como pa jajajaj
[2020:10:18-00:09:40]  (Local) -> (LOCAL)[16][GT]~CARDING~SICARIO: a parchar en bici
[2020:10:18-00:09:42]  (Local) -> (LOCAL)[16]2cb'Jolyne: yase
[2020:10:18-00:09:46]  (Local) -> (LOCAL)[16]2cb'Jolyne: digo el letrerito
[2020:10:18-00:09:48]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF7C00 Zllanerito: ahh las letras
[2020:10:18-00:09:50]  (Local) -> (LOCAL)[16][GT]~CARDING~SICARIO: hagan evento de bici
[2020:10:18-00:09:52]  (Local) -> (LOCAL)[16]2cb'Jolyne: como lo pusistes
[2020:10:18-00:09:53]  (Local) -> (LOCAL)[2](Z)Polo: me tiene que llevar a comisaria y le dan plata
[2020:10:18-00:09:53]  (Local) -> (LOCAL)[2][GT]FranciscoBY: con minigum y ese carro que no se daña jajajaja
[2020:10:18-00:09:53]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF7C00 Zllanerito: /s y la frase
[2020:10:18-00:09:57]  (Local) -> (LOCAL)[2]GT|OLAVE: naaa
[2020:10:18-00:09:58]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF7C00 Zllanerito: que queras
[2020:10:18-00:10:00]  (Local) -> (LOCAL)[16][GT]~CARDING~SICARIO: llanerito
[2020:10:18-00:10:02]  (Local) -> (LOCAL)[3]GT|-PABLO-|LR: ?
[2020:10:18-00:10:04]  (Local) -> (LOCAL)[16]2cb'Jolyne: grasias (y)
[2020:10:18-00:10:06]  (Global) -> Arango: oooooooeeeeeea
[2020:10:18-00:10:06]  (Local) -> (LOCAL)[15][GT]~CARDING~SICARIO: haga evento de bici
[2020:10:18-00:10:07]  (Local) -> (LOCAL)[15]#7F7F7F|CVR|#FF7C00 Zllanerito: dime
[2020:10:18-00:10:13]  (Local) -> (LOCAL)[16][GT]~CARDING~SICARIO: melo
[2020:10:18-00:10:15]  (Local) -> (LOCAL)[3]SebLS: Ya lo va a sancionar
[2020:10:18-00:10:15]  (Local) -> (LOCAL)[16]2cb'Jolyne: jeje
[2020:10:18-00:10:16]  (Local) -> (LOCAL)[16][GT]~CARDING~SICARIO: XD
[2020:10:18-00:10:20]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 Zllanerito: uhmm ando ganoso
[2020:10:18-00:10:20]  (Local) -> (LOCAL)[2][GT]FranciscoBY: haran otro?
[2020:10:18-00:10:24]  (Local) -> (LOCAL)[2]GT|OLAVE: no c
[2020:10:18-00:10:24]  (Local) -> (LOCAL)[17][GT]~CARDING~SICARIO: XD
[2020:10:18-00:10:25]  (Local) -> (LOCAL)[3]GT|-PABLO-|LR: ah va va
[2020:10:18-00:10:26]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF7C00 Zllanerito: ahora lo comboco
[2020:10:18-00:10:26]  (Global) -> Lauriita: ocampo mucho ser sapo
[2020:10:18-00:10:28]  (Local) -> (LOCAL)[3]GT|-PABLO-|LR: todo bien
[2020:10:18-00:10:29]  (Global) -> Elreybobert: oigan
[2020:10:18-00:10:34]  (Global) -> $oltec: 2cb'SingleChamber q se hizo?
[2020:10:18-00:10:35]  (Global) -> Elreybobert: como se llama la taser
[2020:10:18-00:10:40]  (Global) -> 2cb'Aliasg8: ORAAA VEEEAZ
[2020:10:18-00:10:42]  (Local) -> (LOCAL)[16]pinina: quién lo mató
[2020:10:18-00:10:47]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF7C00 Zllanerito: epa
[2020:10:18-00:10:48]  (Local) -> (LOCAL)[1]Parrita: epa
[2020:10:18-00:10:51]  (Local) -> (LOCAL)[19]2cb'LILPUSSY: ola guapo
[2020:10:18-00:10:52]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF0000_SEMDS_: nadie
[2020:10:18-00:10:53]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF7C00 lauraaa:(: quieta sapa
[2020:10:18-00:10:54]  (Local) -> (LOCAL)[1][S.A.S][CAD]Coziud: se me borro todo
[2020:10:18-00:10:55]  (Global) -> DonHector: que putas se desaparecieron los marcadores de busetero xdddd
[2020:10:18-00:10:55]  (Global) -> 2cb'Aliasg8: mauroo
[2020:10:18-00:10:55]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF0000_SEMDS_: se acabo el tiempo
[2020:10:18-00:10:58]  (Local) -> (LOCAL)[19]2cb'Jolyne: q mamoncito ese man
[2020:10:18-00:10:58]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 Zllanerito: por que te habian baneado¡?
[2020:10:18-00:11:00]  (Local) -> (LOCAL)[1]Parrita: tambien a mi
[2020:10:18-00:11:00]  (Global) -> 2cb[MAURO]: que
[2020:10:18-00:11:02]  (Global) -> 2cb*care_loco: SOCIO
[2020:10:18-00:11:03]  (Local) -> (LOCAL)[19]pinina: ñero es imposible
[2020:10:18-00:11:03]  (Local) -> (LOCAL)[19]2cb'Jolyne: vealo
[2020:10:18-00:11:04]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 Zllanerito: xde jjajaa
[2020:10:18-00:11:07]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF7C00 lauraaa:(: XD
[2020:10:18-00:11:08]  (Local) -> (LOCAL)[2]{GT}Mono: nea un favor
[2020:10:18-00:11:09]  (Local) -> (LOCAL)[18]2cb'Jolyne: no halla q hacer
[2020:10:18-00:11:09]  (Global) -> [S.A.S][G]Daniels: heyyy no  desaparescan las carga ome
[2020:10:18-00:11:09]  (Global) -> 2cb'Aliasg8: k ace
[2020:10:18-00:11:10]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF0000_SEMDS_: jum
[2020:10:18-00:11:11]  (Local) -> (LOCAL)[2][GT]juann: quieto
[2020:10:18-00:11:11]  (Local) -> (LOCAL)[1][S.A.S][CAD]Coziud: ya es la segunda vez que pasa
[2020:10:18-00:11:11]  (Local) -> (LOCAL)[19]2cb'Jolyne: jajaja
[2020:10:18-00:11:12]  (Local) -> (LOCAL)[1]Parrita: que pasaria
[2020:10:18-00:11:12]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF0000_SEMDS_: imposible
[2020:10:18-00:11:14]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF0000_SEMDS_: noseñor
[2020:10:18-00:11:15]  (Global) -> 2cb[MAURO]: nada y vos
[2020:10:18-00:11:16]  (Global) -> [CAPU]Dillom: a
[2020:10:18-00:11:19]  (Global) -> [GT]Santiago: 2cb[MAURO]  DEJE DE MATAR TRABAJADORES
