This file was generated by Console at 2020:12:08-00:00:02



[2020:12:08-00:06:38]  (Local) -> (LOCAL)[2][Z]stivenv28|LP: ?
[2020:12:08-00:06:39]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: bre
[2020:12:08-00:06:42]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Cuando los necesite se los paso
[2020:12:08-00:06:43]  (Local) -> (LOCAL)[3]2cb|Woch: wmontense
[2020:12:08-00:06:45]  (Global) -> [Z]stivenv28|LP: #288228 Salen_Luu en twitch
[2020:12:08-00:06:45]  (Global) -> (Z)LOKILLO: t
[2020:12:08-00:06:48]  (Local) -> (LOCAL)[2]|Z|BAZUCO[LP]: esta escuchando el dc?
[2020:12:08-00:06:48]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Aunque
[2020:12:08-00:06:51]  (Local) -> (LOCAL)[3][Z]stivenv28|LP: si
[2020:12:08-00:06:56]  (Local) -> (LOCAL)[3][Z]stivenv28|LP: mucho ruido
[2020:12:08-00:06:57]  (Local) -> (LOCAL)[3]|Z|BAZUCO[LP]: ahhh pense
[2020:12:08-00:06:58]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Esos 30 palos ya pasan suave
[2020:12:08-00:07:01]  (Global) -> (Z)LOKILLO: ARREGLANDO EL CARRO DE MEGU
[2020:12:08-00:07:01]  (Local) -> (LOCAL)[6][BGW]Ragnarok: vaya ley
[2020:12:08-00:07:01]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Se los paso ya
[2020:12:08-00:07:01]  (Local) -> (LOCAL)[3]|Z|BAZUCO[LP]: ahh f
[2020:12:08-00:07:03]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: ale
[2020:12:08-00:07:04]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: q
[2020:12:08-00:07:05]  (Global) -> Diaz: Sapa
[2020:12:08-00:07:09]  (Local) -> (LOCAL)[2]2cb|Woch: y los demas
[2020:12:08-00:07:11]  (Local) -> (LOCAL)[6]2cbLocaHp: qn me pego 1 francaso?
[2020:12:08-00:07:17]  (Global) -> [2CB]KEVIN: francovillar
