This file was generated by Console at 2020:09:17-00:00:00



[2020:09:17-00:03:18]  (Local) -> (LOCAL)[40][GT]Loctar12: que bueno que andamos arriba xd
[2020:09:17-00:03:18]  (Global) -> culoacido: bueno
[2020:09:17-00:03:18]  (Global) -> DonDiego: el carro de atras me exploto
[2020:09:17-00:03:19]  (Local) -> (LOCAL)[1]GT|~Beltran: a
[2020:09:17-00:03:19]  (Local) -> (LOCAL)[1]horacio: lo llevoo
[2020:09:17-00:03:20]  (Local) -> (LOCAL)[36]Hector: lo estamso terminando
[2020:09:17-00:03:21]  (Global) -> (CT.S)menorpatecumbias: BAN DON DIEGO
[2020:09:17-00:03:22]  (Global) -> Torres: ban DONDIEGO 
[2020:09:17-00:03:24]  (Local) -> (LOCAL)[41](CT.S)menorpatecumbias: SISAS JAJAJA
[2020:09:17-00:03:24]  (Local) -> (LOCAL)[6]Ohhhh: hola
[2020:09:17-00:03:24]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Yo vi el comentario de tussy
[2020:09:17-00:03:24]  (Global) -> SantigoUribeParaco: comoes
[2020:09:17-00:03:25]  (Local) -> (LOCAL)[1](ESMAD)MIGUEL1450: pere veo
[2020:09:17-00:03:25]  (Local) -> (LOCAL)[1]GT|~Beltran: a mi en general no me gust
[2020:09:17-00:03:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: literal fue asi
[2020:09:17-00:03:28]  (Global) -> Torres: jsjsj yo colaboro a la causa
[2020:09:17-00:03:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: mire
[2020:09:17-00:03:30]  (Global) -> [ESMAD]ElMillor: ban DonDiego[1]
[2020:09:17-00:03:32]  (Local) -> (LOCAL)[22](CT.S)pablito2100: oe
[2020:09:17-00:03:32]  (Local) -> (LOCAL)[38](CT.S)menorpatecumbias: ey
[2020:09:17-00:03:33]  (Global) -> DonGononea24: qu´hacés bobo?
[2020:09:17-00:03:33]  (Local) -> (LOCAL)[40]Haski_Triste: bajame
[2020:09:17-00:03:33]  (Global) -> FUZE2229: no
[2020:09:17-00:03:33]  (Local) -> (LOCAL)[37]PabloLxOnYT: pareja
[2020:09:17-00:03:34]  (Local) -> (LOCAL)[0](ESMAD)MIGUEL1450: sisas
[2020:09:17-00:03:34]  (Local) -> (LOCAL)[2]Torres: venga lo curo
[2020:09:17-00:03:34]  (Local) -> (LOCAL)[39]Haski_Triste: xd
[2020:09:17-00:03:34]  (Global) -> DonDiego: el carro de atras me exploto ./.
