This file was generated by Console at 2020:11:21-00:00:00



[2020:11:21-00:05:41]  (Global) -> Cheverry: 2cbScrimboy: 7gc hay como 3 tombos afuera
[2020:11:21-00:05:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Patches: espere ya pongo algo
[2020:11:21-00:05:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Patches: XDDD
[2020:11:21-00:05:48]  (Global) -> MontesSicario: xd
[2020:11:21-00:05:49]  (Local) -> (LOCAL)[1]Jabon: ya la escucho
[2020:11:21-00:05:50]  (Local) -> (LOCAL)[4]LDSpablitogaviria: ey juan pablo nojoda bajate manejo yo
[2020:11:21-00:05:57]  ([Msg] de Francine98 para Cheverry: ey ven al banco hazme un favor) -> nil
[2020:11:21-00:05:58]  (Global) -> COSTELAND|DrStrange2cb: #00ff00 COMPRO NRG-500 INMEDIATAMENTE!!!
[2020:11:21-00:05:58]  (Local) -> (LOCAL)[1]-_[Santiago]_-: jajajajaja
[2020:11:21-00:05:59]  (Global) -> COSTELAND|DrStrange2cb: #00ff00 COMPRO NRG-500 INMEDIATAMENTE!!!
[2020:11:21-00:05:59]  (Local) -> (LOCAL)[1][FEC][G]Daniels: PA HAGAMOS ALGO AQUI TENGO 13.5 MILLONES EL RESTO ME LO TIENE MI COLEGA , YO LE PASO LOS 13 Y
[2020:11:21-00:05:59]  (Local) -> (LOCAL)[1]CAPU|'Smoky'Nagata: xd
[2020:11:21-00:06:01]  (Local) -> (LOCAL)[1]LocaHP: jajja
[2020:11:21-00:06:04]  ([Msg] de Cheverry para Francine98: ESTOY EN BANCO) -> nil
[2020:11:21-00:06:04]  (Local) -> (LOCAL)[1]LocaHP: bn
[2020:11:21-00:06:10]  (Local) -> (LOCAL)[1]LocaHP: ahora le voy a enseñar a pvp
[2020:11:21-00:06:13]  (Local) -> (LOCAL)[4]LDS-changua21: malparido para manejar mal
[2020:11:21-00:06:15]  (Local) -> (LOCAL)[1][FEC][G]Daniels: UN HELICOPTERO Y USTED
[2020:11:21-00:06:16]  (Local) -> (LOCAL)[1]LocaHP: ud q no tiene vip
[2020:11:21-00:06:18]  (Global) -> Radial[2cb]: Walter en la radio, colocando los temas
[2020:11:21-00:06:19]  (Local) -> (LOCAL)[1]LocaHP: use bastante esta arma
[2020:11:21-00:06:21]  (Local) -> (LOCAL)[4]LDSpablitogaviria: joda
[2020:11:21-00:06:24]  (Global) -> #7F7F7F|CVR|#FF0000Megu: 7gc me voy pa auc chao
[2020:11:21-00:06:25]  (Local) -> (LOCAL)[1]|Z|~IceWipe: cual heli?
[2020:11:21-00:06:28]  (Local) -> (LOCAL)[2]2cbScrimboy: aaaaa
[2020:11:21-00:06:28]  (Global) -> #7F7F7F|CVR|#FFFF00FUMARATTO: chao
[2020:11:21-00:06:28]  (Global) -> #7F7F7F|CVR|#FF0000Megu: ag
[2020:11:21-00:06:29]  ([Msg] de Francine98 para Cheverry: ey destruye el helicoptero) -> nil
[2020:11:21-00:06:29]  (Local) -> (LOCAL)[4]LDS-bellaqueohpt: callese la boca pablito o lo mando a matar XD
[2020:11:21-00:06:30]  (Local) -> (LOCAL)[2]2cbScrimboy: casi me cojen
[2020:11:21-00:06:30]  (Local) -> (LOCAL)[1]Jabon: q temazo
[2020:11:21-00:06:31]  (Local) -> (LOCAL)[1]LocaHP: primeor
[2020:11:21-00:06:31]  (Global) -> MontesSicario: yoo tambien
[2020:11:21-00:06:32]  (Global) -> 2cb'Lovell: mca q temazos
[2020:11:21-00:06:32]  (Local) -> (LOCAL)[2]2cbScrimboy: ;c
[2020:11:21-00:06:33]  (Local) -> (LOCAL)[2]Radial[2cb]: ajsjasja
[2020:11:21-00:06:34]  (Local) -> (LOCAL)[2]Radial[2cb]: eso vi
[2020:11:21-00:06:35]  (Local) -> (LOCAL)[1]LocaHP: quitese el MP
[2020:11:21-00:06:35]  (Team - Criminals) -> (TEAM)HPJohnson: gracias bb
[2020:11:21-00:06:36]  (Global) -> |EVG|Soltec|Boss||U&A|: ._.
[2020:11:21-00:06:37]  (Local) -> (LOCAL)[1][FEC][G]Daniels: Y USTED ME PASA EL HUSTLE Y CUANDO LE DE EL RESTO ME LO DEVUELVE
[2020:11:21-00:06:37]  (Local) -> (LOCAL)[2][Z]Bocato: x2 JAJAJAAJ
[2020:11:21-00:06:38]  (Local) -> (LOCAL)[4]LDS-JuanPablo: aca nos parcharemos hppp
[2020:11:21-00:06:40]  (Global) -> sebasrep: estoy bugeado
[2020:11:21-00:06:40]  (Local) -> (LOCAL)[1]LocaHP: dele f3 y modo pasivo otra vez
[2020:11:21-00:06:41]  (Local) -> (LOCAL)[2]2cbScrimboy: hay 3 afura
[2020:11:21-00:06:42]  (Local) -> (LOCAL)[1]|Z|~IceWipe: breve
[2020:11:21-00:06:43]  (Local) -> (LOCAL)[2]Radial[2cb]: hay gente afuera'
[2020:11:21-00:06:43]  (Local) -> (LOCAL)[2]2cbScrimboy: ojito
[2020:11:21-00:06:43]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: ey
[2020:11:21-00:06:43]  (Local) -> (LOCAL)[1]-_[Santiago]_-: solo me gusta el ak jajaja
[2020:11:21-00:06:44]  (Local) -> (LOCAL)[2]Radial[2cb]: a
[2020:11:21-00:06:44]  (Local) -> (LOCAL)[3]CAPU|'Smoky'Nagata: a
[2020:11:21-00:06:47]  (Local) -> (LOCAL)[3]CAPU|'Smoky'Nagata: dime
[2020:11:21-00:06:48]  (Local) -> (LOCAL)[2]Radial[2cb]: esperemis
[2020:11:21-00:06:50]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Francine98: me hace un favor
[2020:11:21-00:06:51]  (Local) -> (LOCAL)[1]LocaHP: bn
[2020:11:21-00:06:52]  (Local) -> (LOCAL)[1][FEC][G]Daniels: ENTONCES SI?
[2020:11:21-00:06:53]  (Local) -> (LOCAL)[4]CAPU|'Smoky'Nagata: calro
[2020:11:21-00:06:53]  (Local) -> (LOCAL)[2]2cbScrimboy: mejor me desconecto y ahorita me conecto xd
[2020:11:21-00:06:53]  (Local) -> (LOCAL)[4]LDS-JuanPablo: QUIETOS
[2020:11:21-00:06:53]  (Local) -> (LOCAL)[1]Jabon: oe
[2020:11:21-00:06:53]  (Local) -> (LOCAL)[1]LocaHP: vea le enseño algo
