This file was generated by Console at 2021:02:10-00:00:01



[2021:02:10-00:02:42]  (Local) -> (LOCAL)[5]Popeye_Vasques(RCA): ponga danza kuduro
[2021:02:10-00:02:44]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: HAAAY
[2021:02:10-00:02:44]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: DEJEME PASAR
[2021:02:10-00:02:45]  (Global) -> ElViejoJuancho|2cb|: Admin
[2021:02:10-00:02:45]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Llanerito'ELN': pasamelo
[2021:02:10-00:02:45]  (Global) -> Chirrete_ELN: ok espere
[2021:02:10-00:02:48]  (Local) -> (LOCAL)[1]manchita(2cb): uyyy
[2021:02:10-00:02:49]  (Global) -> Chirrete_ELN: afk
[2021:02:10-00:02:49]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: QUE TODO EL MUNDO TE CANTE
[2021:02:10-00:02:50]  (Global) -> SgtoBigotes: no me escucha?
[2021:02:10-00:02:50]  (Local) -> (LOCAL)[1](POPEYE)_'ELN': MELO
[2021:02:10-00:02:52]  (Local) -> (LOCAL)[2]Randyy|Z|: aca
[2021:02:10-00:02:52]  (Local) -> (LOCAL)[2]Mojarra: denos esos 10k y listo
[2021:02:10-00:02:52]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Llanerito'ELN': dale
[2021:02:10-00:02:54]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: COMO ME VAS A QUITAR 
[2021:02:10-00:02:55]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Llanerito'ELN': topo
[2021:02:10-00:02:55]  (Local) -> (LOCAL)[2]namepape163: pues quite el carro animala
[2021:02:10-00:02:56]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: LA SALSA 
[2021:02:10-00:02:56]  (Local) -> (LOCAL)[2]Mojarra: nada de esto pasó
[2021:02:10-00:02:57]  (Global) -> Andyf301|2cB: saquelo
[2021:02:10-00:02:59]  (Global) -> #7F7F7F|ADM|#FF0000Francine98: ElViejoJuancho|2cb| dime
[2021:02:10-00:03:03]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Llanerito'ELN': mira el canal de dc nuevos reclutas
[2021:02:10-00:03:03]  (Global) -> #7F7F7F|ADM|#FF0000CrudoMeansRaw|EVG|: XDD
[2021:02:10-00:03:05]  (Local) -> (LOCAL)[1]soplo~|GT: oe
[2021:02:10-00:03:05]  (Local) -> (LOCAL)[3]Felipex1314: sisas mono?
[2021:02:10-00:03:07]  (Local) -> (LOCAL)[1]soplo~|GT: muero??
[2021:02:10-00:03:08]  (Local) -> (LOCAL)[2]Andres: coloquese de tombo xD
[2021:02:10-00:03:08]  (Global) -> LonelyLeeks65: vale espera
[2021:02:10-00:03:09]  (Global) -> maicol(RCA(:  oe mano que ase jajaja
[2021:02:10-00:03:09]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: USTED ES UN ANIMAL
[2021:02:10-00:03:10]  (Local) -> (LOCAL)[3]Andres: no
[2021:02:10-00:03:11]  (Global) -> (RCA)BOCACHICO: EY PERMISO
[2021:02:10-00:03:12]  (Local) -> (LOCAL)[3]soplo~|GT: va
[2021:02:10-00:03:12]  (Local) -> (LOCAL)[3]Randyy|Z|: trabaje aca
[2021:02:10-00:03:13]  (Global) -> SALCHIPAPERO(RCA): NO LLEGO
[2021:02:10-00:03:13]  (Local) -> (LOCAL)[2]Cagaleto|EVG|: CONO VA A HACER ESO
[2021:02:10-00:03:14]  (Local) -> (LOCAL)[1]Oreo~|GT: a
[2021:02:10-00:03:15]  (Global) -> SALCHIPAPERO(RCA): XD
[2021:02:10-00:03:19]  (Global) -> SgtoBigotes: nah no vale xd
[2021:02:10-00:03:22]  (Local) -> (LOCAL)[1]Oreo~|GT: a
[2021:02:10-00:03:23]  (Local) -> (LOCAL)[9]alias_topo[ELN]: cual es la base
[2021:02:10-00:03:26]  (Global) -> namepape163: admi nos encerraron en el comando con un carro
[2021:02:10-00:03:27]  (Local) -> (LOCAL)[6]GustavoPetro(RCA): no supo llegar y estaba al lado
[2021:02:10-00:03:27]  (Local) -> (LOCAL)[6]SALCHIPAPERO(RCA): NECESITO MISCARROS PETRO
[2021:02:10-00:03:28]  (Global) -> SgtoBigotes: mejor por discord
[2021:02:10-00:03:29]  (Global) -> caliche0202: sebastian32's quite su carro gran hijueputa
[2021:02:10-00:03:29]  (Local) -> (LOCAL)[6]GustavoPetro(RCA): xddddd
[2021:02:10-00:03:29]  (Global) -> LonelyLeeks65: espera
[2021:02:10-00:03:31]  (Local) -> (LOCAL)[6]Andres: el propio vejestorio
[2021:02:10-00:03:32]  (Local) -> (LOCAL)[2]El_zarco[AK]: eso, así me gusta
[2021:02:10-00:03:34]  (Global) -> SgtoBigotes: pere ya entro
[2021:02:10-00:03:34]  (Local) -> (LOCAL)[10]alias_topo[ELN]: espere saco un carro
[2021:02:10-00:03:35]  (Local) -> (LOCAL)[5]Andres: vengga
[2021:02:10-00:03:36]  (Global) -> #7F7F7F|ADM||DJ|#FF5C00Jimenez: Xdddd
[2021:02:10-00:03:38]  (Global) -> Cagaleto|EVG|: ey sebastian perro
[2021:02:10-00:03:39]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Llanerito'ELN': mano no hay base en este momento
[2021:02:10-00:03:41]  (Global) -> Cagaleto|EVG|: dejeme pasar
[2021:02:10-00:03:43]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Llanerito'ELN': toca que reclutemos
[2021:02:10-00:03:45]  (Local) -> (LOCAL)[11]alias_topo[ELN]: o
[2021:02:10-00:03:45]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Llanerito'ELN': mas gente
[2021:02:10-00:03:47]  (Local) -> (LOCAL)[12]URIEL|ELN: use la del os zetas
[2021:02:10-00:03:48]  (Local) -> (LOCAL)[4]manchita(2cb): buenas
[2021:02:10-00:03:52]  (Global) -> tayzon(cm): hola
[2021:02:10-00:03:55]  (Local) -> (LOCAL)[5]Andres: ud va a cuidar este carro
[2021:02:10-00:03:56]  (Local) -> (LOCAL)[2]Randyy|Z|: quitese el modo pasivo bobo cadago omee
[2021:02:10-00:03:56]  (Local) -> (LOCAL)[3]Oreo~|GT: beuna
[2021:02:10-00:03:57]  (Local) -> (LOCAL)[4]El_zarco[AK]: deme lo que traiga mancha
[2021:02:10-00:03:58]  (Local) -> (LOCAL)[12]URIEL|ELN: igual es de nosotros
[2021:02:10-00:03:59]  (Local) -> (LOCAL)[12]URIEL|ELN: XDDDDDDDDDD
[2021:02:10-00:03:59]  (Local) -> (LOCAL)[4]soplo~|GT: va
[2021:02:10-00:04:00]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Llanerito'ELN': hola
[2021:02:10-00:04:01]  (Global) -> caliche0202: sebastian perro hijueputa quite el carro
[2021:02:10-00:04:02]  (Local) -> (LOCAL)[3]Andres: encaneme
[2021:02:10-00:04:02]  (Local) -> (LOCAL)[6]Juanda10(RCA): un tombito?
[2021:02:10-00:04:03]  (Local) -> (LOCAL)[6]Onomatopeya: hahaha
[2021:02:10-00:04:04]  (Local) -> (LOCAL)[6]Cagaleto|EVG|: SEBASTIAN
[2021:02:10-00:04:04]  (Local) -> (LOCAL)[7](POPEYE)_'ELN': HOLI
[2021:02:10-00:04:05]  (Local) -> (LOCAL)[6]Popeye_Vasques(RCA): danza kuduro ahorita
[2021:02:10-00:04:06]  (Local) -> (LOCAL)[2]XoodeKKKK|GT: quitense locas
[2021:02:10-00:04:07]  (Local) -> (LOCAL)[6]Cagaleto|EVG|: QUITA EL CARRO
[2021:02:10-00:04:08]  (Global) -> DIPOL|Sendobeta: Admin
[2021:02:10-00:04:08]  (Global) -> namepape163: sebastian32"s quite el carro
[2021:02:10-00:04:11]  (Global) -> Cagaleto|EVG|: SEBASTIAN 
[2021:02:10-00:04:13]  (Local) -> (LOCAL)[13]URIEL|ELN: tienes gang ?
[2021:02:10-00:04:14]  (Local) -> (LOCAL)[4]manchita(2cb): q pasa pa
[2021:02:10-00:04:14]  (Local) -> (LOCAL)[6]GustavoPetro(RCA): escuchan?
[2021:02:10-00:04:14]  (Local) -> (LOCAL)[6]SALCHIPAPERO(RCA): PETRO PRESTAME UN CARRO PA IR PA LSO SANTOS Y TRABAJAR HPTA
[2021:02:10-00:04:17]  (Local) -> (LOCAL)[5]Andres: lleveme a cana
[2021:02:10-00:04:17]  (Local) -> (LOCAL)[6]Popeye_Vasques(RCA): un tombo fiestero
[2021:02:10-00:04:17]  (Global) -> Cagaleto|EVG|: QUITA LA NAVE
[2021:02:10-00:04:20]  (Local) -> (LOCAL)[3]ElViejoJuancho|2cb|: iAJA
[2021:02:10-00:04:20]  (Local) -> (LOCAL)[13]TomboGamer: nona
[2021:02:10-00:04:20]  (Local) -> (LOCAL)[13]URIEL|ELN: quieres ser del eln ?
[2021:02:10-00:04:21]  (Local) -> (LOCAL)[6]Juanda10(RCA): JAJAJAJJAA
[2021:02:10-00:04:21]  (Global) -> DIPOL|Sendobeta: Como arreglo el carro si el sistema lo oculta automaticamente?
[2021:02:10-00:04:23]  (Local) -> (LOCAL)[3]Oreo~|GT: ajajja
[2021:02:10-00:04:23]  (Global) -> tayzon(cm): dhola
[2021:02:10-00:04:25]  (Global) -> namepape163: admi
[2021:02:10-00:04:26]  (Global) -> SgtoBigotes: listo mi perro, luego me explica el resto
[2021:02:10-00:04:26]  (Local) -> (LOCAL)[5]Andres: no vaya a destruir el carro
[2021:02:10-00:04:33]  (Local) -> (LOCAL)[12]TomboGamer: me puedo volver guerrillo?
[2021:02:10-00:04:35]  (Local) -> (LOCAL)[11]URIEL|ELN: si
[2021:02:10-00:04:36]  (Global) -> namepape163: gracias 
[2021:02:10-00:04:38]  (Local) -> (LOCAL)[4]Mojarra: nos cagaron el plan xD
[2021:02:10-00:04:38]  (Global) -> LonelyLeeks65: mejor no
[2021:02:10-00:04:38]  (Local) -> (LOCAL)[11]#7F7F7F|ADM|#FF5C00Llanerito'ELN': ajajaja
