This file was generated by Console at 2020:11:15-00:00:00



[2020:11:15-00:08:32]  (Local) -> (LOCAL)[6]2cb~>Walter: ando bindeando peree
[2020:11:15-00:08:36]  (Local) -> (LOCAL)[10][BGW]ORTEGA: luna hp
[2020:11:15-00:08:43]  (Global) -> LIan: papiao
[2020:11:15-00:08:44]  (Global) -> 2cb|Yandrix: AVALENCIAAA
[2020:11:15-00:08:58]  (Local) -> (LOCAL)[2]ElKevinnPai: esa mrda no vuela o q?
[2020:11:15-00:09:06]  (Global) -> #Anittabadgirl: 「ROTAM」COMUNICAÇÃO CORTADA!! PEGUEI TEU CELULAR!
[2020:11:15-00:09:10]  (Local) -> (LOCAL)[2]ElKevinnPai: xddd
[2020:11:15-00:09:11]  (Local) -> (LOCAL)[4]2cb'CamilaShade: me va arrestar o que?
[2020:11:15-00:09:25]  (Global) -> LIan: lol
[2020:11:15-00:09:27]  (Global) -> ScanorFX: el admin
[2020:11:15-00:09:28]  (Global) -> #7F7F7F|CVR|#FFFF00Llanerito: nao nao
[2020:11:15-00:09:29]  (Global) -> 2cb'Jabon: q
[2020:11:15-00:09:29]  (Local) -> (LOCAL)[3]2cb~>Walter: nel
[2020:11:15-00:09:36]  (Global) -> ScanorFX: tengo una pregunta
[2020:11:15-00:09:37]  (Global) -> [MZ]Gaster: ponga anuncio en el chat de reclutamiento de muertez
[2020:11:15-00:09:42]  (Local) -> (LOCAL)[1][MZ]Gaster: xd
[2020:11:15-00:09:45]  (Local) -> (LOCAL)[1][MZ]Gaster: se me jue
[2020:11:15-00:09:53]  (Global) -> |DJ|Feid:(: Diablo chika
[2020:11:15-00:09:56]  (Local) -> (LOCAL)[3][EVG]juann: XDDDD
[2020:11:15-00:09:57]  (Global) -> LIan: sñr agente
[2020:11:15-00:10:06]  (Local) -> (LOCAL)[6]SU_TIA:LACALVA: q quiere
[2020:11:15-00:10:09]  (Global) -> LIan: que hace comprando drgoa sñr agente
[2020:11:15-00:10:12]  (Global) -> ScanorFX: ADMIN
[2020:11:15-00:10:13]  (Global) -> Chenchoenp: papi pongase la de como te pusiste esos jeanes
[2020:11:15-00:10:14]  (Local) -> (LOCAL)[1][MZ]Gaster: esa es?
[2020:11:15-00:10:16]  (Local) -> (LOCAL)[1][MZ]Gaster: a
[2020:11:15-00:10:16]  (Local) -> (LOCAL)[5]SU_TIA:LACALVA: quiero fumarme un porro
[2020:11:15-00:10:17]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: dime
[2020:11:15-00:10:18]  (Global) -> #7F7F7F|CVR|#FF5C00[GDT]Cazaputas42: scanor
[2020:11:15-00:10:20]  (Local) -> (LOCAL)[1][MZ]santi: que pao
[2020:11:15-00:10:20]  (Global) -> Chenchoenp: haces que mi mente maquine
[2020:11:15-00:10:23]  (Global) -> ScanorFX: a
[2020:11:15-00:10:24]  (Global) -> |DJ|Feid:(: Ya mismo pa
