This file was generated by Console at 2021:01:19-00:00:00



[2021:01:19-00:03:36]  (Local) -> (LOCAL)[1]TonyMontana: Le quedo grandde pa
[2021:01:19-00:03:36]  (Local) -> (LOCAL)[1]Bichota: gracias
[2021:01:19-00:03:37]  (Local) -> (LOCAL)[1]2cb'Eusebio: o lo dice por el chat global y un administrador le ayuda
[2021:01:19-00:03:37]  (Local) -> (LOCAL)[6]TIROFIJO420: ARME CULO DE EXPLOSION ALLA AFUERA
[2021:01:19-00:03:40]  (Global) -> {ak},francovillar: admin
[2021:01:19-00:03:42]  (Local) -> (LOCAL)[4](RCA)GustavoPetro: jajajajajj lo vamos a cazar
[2021:01:19-00:03:42]  (Local) -> (LOCAL)[4](RCA)_Feid: que gonorrea
[2021:01:19-00:03:42]  (Global) -> {ak},francovillar: admin
[2021:01:19-00:03:43]  (Local) -> (LOCAL)[4]Cagaleto[EVG]: SIII
[2021:01:19-00:03:45]  (Local) -> (LOCAL)[4]Cagaleto[EVG]: AJAJJAJAJA
[2021:01:19-00:03:45]  (Global) -> KingFlesh: Admin por qué no escucho el bafle?
[2021:01:19-00:03:47]  (Local) -> (LOCAL)[1]2cb'Eusebio: cuando esté bien melo para el pvp lo recluto en la gang jaja
[2021:01:19-00:03:50]  (Local) -> (LOCAL)[1]2cb'Eusebio: vemos
[2021:01:19-00:03:50]  (Local) -> (LOCAL)[4]MR.MCLOVIN.3.0(CAPU): q
[2021:01:19-00:03:50]  (Local) -> (LOCAL)[1](RCA)el_topo: no nada papi
[2021:01:19-00:03:50]  (Local) -> (LOCAL)[4]TIROFIJO420: ME SALIERONE STRELLAS
[2021:01:19-00:03:50]  (Global) -> EladioCarrion: Nea
[2021:01:19-00:03:50]  (Local) -> (LOCAL)[4]{ak},francovillar: oae
[2021:01:19-00:03:52]  (Local) -> (LOCAL)[2](Z)LOKILLO: me tramo su producto
[2021:01:19-00:03:52]  (Local) -> (LOCAL)[4]#7F7F7F|ADM||LG|#FF5C00|~Curiosin~|CAPU: señor
[2021:01:19-00:03:53]  (Local) -> (LOCAL)[2]2cb/MINI: vamos
[2021:01:19-00:03:54]  (Local) -> (LOCAL)[2]PININA^SAYAYIN: mini me va acopañar a comprar una m4
[2021:01:19-00:03:55]  (Local) -> (LOCAL)[2]EladioCarrion: E
[2021:01:19-00:03:56]  (Local) -> (LOCAL)[4]TIROFIJO420: OE Y NO VOLVIO
[2021:01:19-00:03:56]  (Local) -> (LOCAL)[4]MR.MCLOVIN.3.0(CAPU): zo
[2021:01:19-00:03:58]  (Local) -> (LOCAL)[4]TIROFIJO420: A ROBAR EL D1
[2021:01:19-00:03:59]  (Local) -> (LOCAL)[4]{ak},francovillar: uste bende brogas
[2021:01:19-00:04:00]  (Local) -> (LOCAL)[2]GonzaloGaviria: quiere mas?
[2021:01:19-00:04:00]  (Local) -> (LOCAL)[2]Chili: no jodas
[2021:01:19-00:04:00]  (Local) -> (LOCAL)[5]#7F7F7F|ADM||LG|#FF5C00|~Curiosin~|CAPU: señor
[2021:01:19-00:04:02]  (Local) -> (LOCAL)[5]Orange: Yo tambien me quiero poner una ski nde mona china
[2021:01:19-00:04:04]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00|~Curiosin~|CAPU: no señor
[2021:01:19-00:04:06]  (Global) -> KING_: oe
[2021:01:19-00:04:07]  (Global) -> juanmelorttv.: oe
[2021:01:19-00:04:07]  (Local) -> (LOCAL)[4]Cagaleto[EVG]: LO CERRARON :C
[2021:01:19-00:04:08]  (Global) -> EladioCarrion: Por que me daño el carro¿
[2021:01:19-00:04:10]  (Local) -> (LOCAL)[6]{ak},francovillar: oe
[2021:01:19-00:04:10]  (Local) -> (LOCAL)[2](Z)LOKILLO: no tengo mas palta XD
[2021:01:19-00:04:11]  (Local) -> (LOCAL)[4]TIROFIJO420: AAA SI?
[2021:01:19-00:04:11]  (Global) -> (RCA)-D-a-v-i-d: ADMINS
[2021:01:19-00:04:12]  (Local) -> (LOCAL)[4]TIROFIJO420: PORQUE XDDD
[2021:01:19-00:04:13]  (Local) -> (LOCAL)[6]{ak},francovillar: quie
[2021:01:19-00:04:13]  (Global) -> #7F7F7F|DJ|#FFFF002cb'DJ_NICO: ruiz poneme medellin de kevin roldan
[2021:01:19-00:04:15]  (Local) -> (LOCAL)[8](RCA)_Feid: LA PERRAAA
[2021:01:19-00:04:15]  (Local) -> (LOCAL)[7]#7F7F7F|ADM||LG|#FF5C00|~Curiosin~|CAPU: señor
[2021:01:19-00:04:16]  (Local) -> (LOCAL)[4]Cagaleto[EVG]: NI IDEA
[2021:01:19-00:04:17]  (Local) -> (LOCAL)[2]Chili: vamos al banco
[2021:01:19-00:04:19]  (Local) -> (LOCAL)[4]TIROFIJO420: LO DEJARON EN LA QUIEBHRA
[2021:01:19-00:04:20]  (Local) -> (LOCAL)[2]2cb/MINI: que hacemos
[2021:01:19-00:04:20]  (Local) -> (LOCAL)[3]Romero[carlos]: ajajajja
